[일시]아모레G,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,66400,66400,65300,65900,▲200,＋0.30%,65920,66210,65200,76503,118521,17302508
2019/01/29,65500,66200,64900,65700,0.0,0.00%,65700,66310,65195,76777,83926,17297485
2019/01/28,66500,66600,64500,65700,▼800,－1.20%,65460,66660,65178,77071,151063,17265986
2019/01/25,66100,66600,65400,66500,▲700,＋1.06%,65200,66980,65118,77322,117546,17255268
2019/01/24,64900,66100,64400,65800,▲1000,＋1.54%,64680,67090,65045,77571,84268,17215026
2019/01/23,63900,66100,63900,64800,▲300,＋0.47%,64600,67250,64980,77843,123350,17189127
2019/01/22,64500,65900,64200,64500,▲100,＋0.16%,65040,67535,65110,78157,92276,17202622
2019/01/21,64400,64900,64000,64400,▲500,＋0.78%,65780,67935,65287,78503,66658,17200774
2019/01/18,66000,66200,63300,63900,▼1500,－2.29%,66680,68290,65455,78866,175037,17194758
2019/01/17,67100,67300,64900,65400,▼1600,－2.39%,67200,68595,65618,79221,171649,17170989
2019/01/16,68300,68400,66400,67000,▼1200,－1.76%,67320,68655,65812,79543,106672,17143951
2019/01/15,69700,69700,68000,68200,▼700,－1.02%,67220,68675,65917,79843,132868,17133587
2019/01/14,66000,69900,66000,68900,▲2400,＋3.61%,66660,68655,66005,80133,194480,17150721
2019/01/11,66100,66600,65700,66500,▲500,＋0.76%,66340,68605,66138,80433,108450,17121771
2019/01/10,66700,67500,65500,66000,▼500,－0.75%,66400,68500,66280,80792,98351,17095832
2019/01/09,66000,66700,64400,66500,▲1100,＋1.68%,67000,68410,66425,81158,141775,17071197
2019/01/08,68100,69300,65200,65400,▼1900,－2.82%,67280,68230,66580,81513,155449,17017068
2019/01/07,67900,69500,66600,67300,▲500,＋0.75%,68740,68050,66710,81863,167368,17012521
2019/01/04,68800,69000,64300,66800,▼2200,－3.19%,69700,67885,66863,82207,248594,16964205
2019/01/03,68200,70100,68200,69000,▲1100,＋1.62%,70080,67845,67042,82554,130354,16919521
2019/01/02,72500,73900,67200,67900,▼4800,－6.60%,70080,67685,67223,82904,199818,16880694
2018/12/28,71900,74600,71900,72700,▲600,＋0.83%,70600,67535,67408,83243,149492,16900990
