[일시]아세아,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,119000,122000,117500,120000,▲1000,＋0.84%,119500,118650,116283,122600,2970,140754
2019/01/29,119500,119500,116500,119000,▼500,－0.42%,119400,118375,116225,122663,1248,140624
2019/01/28,120000,121000,116500,119500,▼500,－0.42%,119700,118075,116092,122721,1190,140792
2019/01/25,119000,120500,118000,120000,▲1000,＋0.84%,119900,117750,116025,122771,1123,140718
2019/01/24,120000,121000,116500,119000,▼500,－0.42%,120600,117375,115942,122838,1975,140355
2019/01/23,119500,120500,118500,119500,▼1000,－0.83%,121300,117150,115875,122917,1612,140435
2019/01/22,120500,121000,118000,120500,0.0,0.00%,122200,116900,115783,122992,1381,140422
2019/01/21,126500,126500,120500,120500,▼3000,－2.43%,122900,116600,115708,123046,772,140590
2019/01/18,122500,124500,122000,123500,▲1000,＋0.82%,122700,116300,115783,123083,569,140588
2019/01/17,124000,125500,121500,122500,▼1500,－1.21%,122000,116000,115783,123092,748,140569
2019/01/16,123500,125000,123000,124000,0.0,0.00%,120800,115850,115825,123121,1443,140687
2019/01/15,120000,124000,119500,124000,▲4500,＋3.77%,118900,115675,115800,123158,725,139972
2019/01/14,121000,123500,119000,119500,▼500,－0.42%,116800,115525,115833,123183,540,140032
2019/01/11,116500,120500,116500,120000,▲3500,＋3.00%,115500,115500,115975,123250,3158,140059
2019/01/10,114000,116500,113500,116500,▲2000,＋1.75%,113900,115400,116125,123313,407,139893
2019/01/09,112500,116000,112500,114500,▲1000,＋0.88%,113000,115675,116317,123400,734,139872
2019/01/08,114000,117000,112000,113500,▲500,＋0.44%,113000,116100,116550,123492,1842,139989
2019/01/07,112000,113500,111000,113000,▲1000,＋0.89%,112900,116525,116792,123575,521,139328
2019/01/04,112000,115000,110000,112000,0.0,0.00%,112900,117025,117092,123667,636,139319
2019/01/03,116000,116000,110000,112000,▼2500,－2.18%,113000,117375,117467,123758,540,139372
2019/01/02,113000,115000,112000,114500,▲1500,＋1.33%,113500,117775,117825,123879,665,139781
2018/12/28,113000,113500,112000,113000,0.0,0.00%,113500,117900,118125,123967,602,139761
2018/12/27,112500,113500,111500,113000,▲500,＋0.44%,113800,118125,118458,124054,283,139745
2018/12/26,112500,114000,110500,112500,▼2000,－1.75%,114100,118375,118792,124121,1845,140337
2018/12/24,114500,115500,111500,114500,0.0,0.00%,115100,118600,119175,124183,1303,140485
2018/12/21,113000,115000,111000,114500,0.0,0.00%,116100,118675,119533,124325,1263,140541
2018/12/20,114500,114500,110500,114500,0.0,0.00%,117300,118725,119875,124496,3307,140471
2018/12/19,116000,118000,114500,114500,▼3000,－2.55%,118600,118775,120233,124654,1092,140124
2018/12/18,119500,121000,114000,117500,▼2000,－1.67%,119500,118875,120600,124796,2007,140305
2018/12/17,118000,120000,117500,119500,▼1000,－0.83%,119600,118675,120917,124908,1090,140699
2018/12/14,121000,121500,119000,120500,▼500,－0.41%,120100,118350,121200,125021,1116,140551
2018/12/13,118000,121000,118000,121000,▲2000,＋1.68%,120600,117875,121525,125133,900,140634
2018/12/12,117500,119500,116500,119000,▲1000,＋0.85%,120800,117200,121800,125238,1128,140573
2018/12/11,122000,122000,118000,118000,▼4000,－3.28%,121600,116550,122042,125354,1619,140611
2018/12/10,120000,122500,118500,122000,▼1000,－0.81%,121800,115900,122325,125496,1998,140799
2018/12/07,123000,123000,120500,123000,▲1000,＋0.82%,121400,115375,122508,125650,793,141497
2018/12/06,123000,123500,118500,122000,▼1000,－0.81%,120200,114650,122642,125808,1717,141452
2018/12/05,118500,123000,116000,123000,▲4000,＋3.36%,119300,113950,122808,126021,1939,141416
2018/12/04,118500,122000,115500,119000,▼1000,－0.83%,118300,113075,122950,126229,3948,141441
2018/12/03,117500,122000,116500,120000,▲3000,＋2.56%,117900,112825,123158,126463,1498,141317
2018/11/30,115500,120000,114500,117000,▼500,－0.43%,117100,112425,123350,126750,1688,141338
2018/11/29,116500,119000,116000,117500,▼500,－0.42%,116800,112400,123567,127058,1013,141664
2018/11/28,115000,118000,114000,118000,▲1000,＋0.85%,116400,112075,123717,127404,1105,141994
2018/11/27,114500,117500,114000,117000,▲1000,＋0.86%,116100,111950,123892,127804,500,142034
2018/11/26,117500,117500,114000,116000,▲500,＋0.43%,115400,111850,124067,128254,873,142023
2018/11/23,115500,116500,114500,115500,0.0,0.00%,114800,111800,124208,128713,559,142326
2018/11/22,116500,117000,113500,115500,▼1000,－0.86%,113900,111725,124375,129121,1184,142521
2018/11/21,112000,117000,111500,116500,▲3000,＋2.64%,112300,111750,124583,129558,1743,142763
2018/11/20,112500,114500,112000,113500,▲500,＋0.44%,110200,112175,124850,129838,459,142964
2018/11/19,111000,113500,108500,113000,▲2000,＋1.80%,108500,112675,125158,130179,2340,142967
2018/11/16,107500,111000,107500,111000,▲3500,＋3.26%,108200,113275,125517,130533,3185,143032
2018/11/15,105500,108500,104000,107500,▲1500,＋1.42%,107700,113850,125883,130971,3560,142637
2018/11/14,105500,106000,103000,106000,▲1000,＋0.95%,107800,114775,126250,131429,3422,142751
2018/11/13,110500,111000,104500,105000,▼6500,－5.83%,107700,115875,126600,131921,4216,143073
2018/11/12,109000,112000,106500,111500,▲3000,＋2.76%,109500,117075,127000,132304,2212,142945
2018/11/09,106500,109500,105500,108500,▲500,＋0.46%,109600,117900,127317,132692,2805,142880
2018/11/08,106500,108500,104000,108000,▲2500,＋2.37%,111200,118900,127667,133092,4792,142825
2018/11/07,114000,115000,103000,105500,▼8500,－7.46%,111800,119900,128033,133421,9995,143063
2018/11/06,112000,114000,111000,114000,▲2000,＋1.79%,113800,121175,128417,133775,1298,143476
2018/11/05,116500,116500,111500,112000,▼4500,－3.86%,114000,122200,128658,134071,1834,143560
2018/11/02,112000,116500,112000,116500,▲5500,＋4.95%,114600,123275,128917,134388,2333,144153
2018/11/01,115500,118000,110500,111000,▼4500,－3.90%,114100,124075,129100,134683,1466,143920
2018/10/31,117000,117000,113500,115500,▲500,＋0.43%,115100,125175,129350,134992,1394,143945
2018/10/30,113000,115000,110500,115000,0.0,0.00%,117000,126050,129517,135333,1989,143972
2018/10/29,114000,115000,107500,115000,▲1000,＋0.88%,118700,127075,129733,135629,5993,143907
2018/10/26,115000,116500,105500,114000,▼2000,－1.72%,120700,128125,129958,135858,5771,144679
2018/10/25,120000,124000,115000,116000,▼9000,－7.20%,122400,129175,130200,136092,1796,144932
2018/10/24,124000,126500,121500,125000,▲1500,＋1.21%,124400,130175,130383,136292,972,145229
2018/10/23,123500,125000,121500,123500,▼1500,－1.20%,125000,130750,130383,136417,379,145499
2018/10/22,122500,125000,120500,125000,▲2500,＋2.04%,126100,131400,130400,136550,1442,145489
2018/10/19,126000,126000,122000,122500,▼3500,－2.78%,126700,131975,130417,136638,2689,145519
2018/10/18,128000,129000,125000,126000,▼2000,－1.56%,127900,132850,130517,136783,847,145904
2018/10/17,129500,131500,127500,128000,▼1000,－0.78%,128300,133425,130533,136867,1483,146330
2018/10/16,129500,129500,127000,129000,▲1000,＋0.78%,128900,133700,130525,136875,1155,146212
2018/10/15,126000,131000,125000,128000,▼500,－0.39%,130000,134000,130500,136875,1194,146688
2018/10/12,125500,130500,125500,128500,▲500,＋0.39%,131100,134250,130483,136875,478,146628
2018/10/11,128000,130500,125500,128000,▼3000,－2.29%,131900,134375,130433,136867,2439,146688
2018/10/10,134000,134500,127500,131000,▼3500,－2.60%,132900,134575,130358,136871,4552,146809
2018/10/08,133500,135000,130500,134500,▲1000,＋0.75%,133300,134600,130242,136829,1408,147200
2018/10/05,132000,134500,129500,133500,▲1000,＋0.75%,133500,134450,130050,136742,1203,147198
2018/10/04,133000,134500,130000,132500,▼500,－0.38%,134000,134350,129933,136663,1150,147029
2018/10/02,133000,134000,130000,133000,0.0,0.00%,134500,134225,129808,136608,2798,146858
2018/10/01,135500,136000,129500,133000,▼2500,－1.85%,135100,133900,129650,136542,4963,146174
2018/09/28,136000,136000,133500,135500,▼500,－0.37%,135800,133675,129450,136488,856,146352
2018/09/27,136000,136500,134500,136000,▲1000,＋0.74%,136000,133275,129192,136396,2772,146377
2018/09/21,135000,137500,132500,135000,▼1000,－0.74%,136100,132700,129117,136254,2087,147154
2018/09/20,135000,136500,133000,136000,▼500,－0.37%,137100,132225,129117,136092,1960,147136
2018/09/19,135000,137000,133000,136500,0.0,0.00%,137400,131825,129075,135900,1947,148430
2018/09/18,136000,137500,134000,136500,0.0,0.00%,136800,131625,128992,135704,1129,148628
2018/09/17,143500,143500,133500,136500,▼3500,－2.50%,136500,131400,128900,135513,4556,148975
2018/09/14,136500,140500,136500,140000,▲2500,＋1.82%,135800,131300,128842,135325,2035,148882
2018/09/13,134000,138000,133000,137500,▲4000,＋3.00%,134000,130950,128742,135138,5587,148773
2018/09/12,134500,135500,132500,133500,▼1500,－1.11%,132900,130550,128675,134983,4016,148566
2018/09/11,134500,136000,132000,135000,▲2000,＋1.50%,132500,130225,128667,134858,2529,149299
2018/09/10,132000,135000,130500,133000,▲2000,＋1.53%,131800,129925,128667,134700,2625,149718
2018/09/07,130500,131500,130000,131000,▼1000,－0.76%,131500,129800,128792,134575,620,149885
2018/09/06,130000,133500,130000,132000,▲500,＋0.38%,131300,129725,128975,134454,2312,149739
2018/09/05,132500,132500,130500,131500,0.0,0.00%,130200,129625,129233,134325,1390,150470
2018/09/04,130000,132500,128000,131500,0.0,0.00%,129600,129475,129508,134196,3980,150542
2018/09/03,133500,135000,128500,131500,▲1500,＋1.15%,128800,129325,129767,134071,4954,150538
2018/08/31,126000,130500,125500,130000,▲3500,＋2.77%,127400,129125,130150,133946,2234,150564
2018/08/30,130000,130000,123500,126500,▼2000,－1.56%,126500,129000,130550,133825,4636,150442
2018/08/29,127500,130500,126500,128500,▲1000,＋0.78%,126800,128975,131092,133729,1431,150331
2018/08/28,125000,128500,124500,127500,▲3000,＋2.41%,127600,128825,131717,133638,1821,150370
2018/08/27,125500,126500,122500,124500,▼1000,－0.80%,128500,128850,132442,133567,2295,150201
2018/08/24,128500,129000,124000,125500,▼2500,－1.95%,130500,129050,133217,133538,3118,150134
2018/08/23,131500,132000,127500,128000,▼4500,－3.40%,132000,129200,133867,133454,3111,150178
2018/08/22,133000,134000,131000,132500,▲500,＋0.38%,132300,129150,134533,133350,1231,149720
2018/08/21,134500,135000,131500,132000,▼2500,－1.86%,131200,128775,134825,133204,1162,149786
2018/08/20,133500,137000,133000,134500,▲1500,＋1.13%,130600,128400,135200,133079,1501,150012
2018/08/17,129500,135500,129500,133000,▲3500,＋2.70%,129800,127975,135550,132917,2608,150121
2018/08/16,128500,131000,126500,129500,▲2500,＋1.97%,129100,127750,136058,132775,3611,150657
2018/08/14,128500,130000,127000,127000,▼2000,－1.55%,129200,127625,136608,132663,2993,150615
2018/08/13,131000,132500,127000,129000,▼1500,－1.15%,129500,127650,137242,132592,1081,152216
2018/08/10,130000,132500,126000,130500,▲1000,＋0.77%,129400,127575,137608,132500,2720,152353
2018/08/09,128500,130000,128500,129500,▼500,－0.38%,128800,127400,138067,132450,236,152324
2018/08/08,127500,130000,125500,130000,▲1500,＋1.17%,128400,127200,138517,132408,1859,152340
2018/08/07,127000,128500,124500,128500,0.0,0.00%,127600,126875,138808,132342,1790,152546
2018/08/06,127000,130000,126000,128500,▲1000,＋0.78%,127000,126650,139133,132288,388,152593
2018/08/03,125000,129000,125000,127500,0.0,0.00%,126900,126375,139483,132267,1333,152656
2018/08/02,126000,129500,125500,127500,▲1500,＋1.19%,127100,126325,139858,132279,1875,152685
2018/08/01,125500,126000,123500,126000,▲500,＋0.40%,127300,126200,140267,132304,1513,152574
2018/07/31,127500,127500,124500,125500,▼2500,－1.95%,127500,126075,140633,132338,849,152648
2018/07/30,128500,129500,126000,128000,▼500,－0.39%,127400,125850,141150,132408,1715,152812
2018/07/27,128500,129000,125000,128500,0.0,0.00%,126700,125450,141525,132463,1184,153656
2018/07/26,127000,129000,126500,128500,▲1500,＋1.18%,126200,125600,141758,132500,1018,153977
2018/07/25,125000,127000,122500,127000,▲2000,＋1.60%,126200,125925,141983,132533,2696,154025
2018/07/24,123000,127000,123000,125000,▲500,＋0.40%,126200,126250,142200,132558,2373,153962
2018/07/23,125000,126500,122000,124500,▼1500,－1.19%,126700,126575,142450,132567,1559,154162
2018/07/20,128500,128500,124500,126000,▼2500,－1.95%,127300,126900,142700,132571,1002,154396
2018/07/19,124500,129000,124500,128500,▲1500,＋1.18%,127500,127250,142858,132533,1339,154467
2018/07/18,125500,127000,123500,127000,▼500,－0.39%,126900,127525,143050,132483,1573,154668
2018/07/17,127500,127500,124000,127500,0.0,0.00%,126200,127850,143200,132438,628,154611
2018/07/16,127000,128000,125000,127500,▲500,＋0.39%,125500,128125,143225,132375,564,154568
2018/07/13,126000,130000,122500,127000,▲1500,＋1.20%,124600,128500,143250,132296,1824,154646
2018/07/12,122500,126500,120000,125500,▲2000,＋1.62%,124500,129175,143267,132225,2136,154996
2018/07/11,122500,124500,121000,123500,▼500,－0.40%,124400,130000,143300,132154,1686,154442
2018/07/10,123000,124000,121500,124000,▲1000,＋0.81%,124400,131200,143383,132092,1049,154616
2018/07/09,126500,126500,120000,123000,▼3500,－2.77%,123800,132400,143417,132017,2885,154492
2018/07/06,125000,127000,120500,126500,▲1500,＋1.20%,123200,133600,143433,131954,3119,155008
2018/07/05,121500,125000,119500,125000,▲1500,＋1.21%,124200,135000,143392,131871,1808,155414
2018/07/04,120000,123500,120000,123500,▲2500,＋2.07%,126200,136450,143408,131775,518,155681
2018/07/03,121000,122000,117500,121000,▲1000,＋0.83%,128200,138225,143433,131704,2603,155731
2018/07/02,130500,130500,120000,120000,▼11500,－8.75%,130300,140475,143525,131663,4024,154918
2018/06/29,136500,138500,130500,131500,▼3500,－2.59%,132500,143025,143600,131629,2232,154235
