[일시]알보젠코리아,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,28350,28350,28100,28200,▼150,－0.53%,28260,28150,28148,27657,2428,0
2019/01/29,28400,28400,28200,28350,0.0,0.00%,28240,28145,28131,27646,829,0
2019/01/28,28600,28600,28350,28350,▲150,＋0.53%,28190,28128,28106,27635,3655,0
2019/01/25,28150,28250,28150,28200,0.0,0.00%,28130,28118,28080,27625,3796,0
2019/01/24,28800,28800,28100,28200,▲100,＋0.36%,28130,28110,28055,27615,1890,0
2019/01/23,28350,28350,27900,28100,0.0,0.00%,28120,28113,28033,27605,3711,0
2019/01/22,28200,28200,28000,28100,▲50,＋0.18%,28130,28145,28012,27595,444,0
2019/01/21,28250,28300,28050,28050,▼150,－0.53%,28140,28175,27991,27585,1569,0
2019/01/18,28300,28300,28000,28200,▲50,＋0.18%,28140,28213,27978,27576,1297,0
2019/01/17,28150,28150,28000,28150,0.0,0.00%,28120,28245,27961,27566,663,0
2019/01/16,28100,28150,27950,28150,0.0,0.00%,28100,28283,27948,27557,3679,0
2019/01/15,28200,28200,28000,28150,▲100,＋0.36%,28080,28318,27933,27548,930,0
2019/01/14,28000,28150,27900,28050,▼50,－0.18%,28080,28355,27922,27539,1104,0
2019/01/11,28050,28100,27950,28100,▲50,＋0.18%,28110,28398,27908,27531,605,0
2019/01/10,28000,28050,27850,28050,0.0,0.00%,28110,28440,27893,27525,2666,0
2019/01/09,28100,28200,27950,28050,▼100,－0.36%,28120,28453,27878,27520,632,0
2019/01/08,28100,28150,28050,28150,▼50,－0.18%,28130,28453,27863,27514,264,0
2019/01/07,28100,28200,27900,28200,▲100,＋0.36%,28100,28448,27843,27507,1016,0
2019/01/04,27950,28200,27950,28100,0.0,0.00%,28090,28433,27823,27500,811,0
2019/01/03,27900,28150,27900,28100,0.0,0.00%,28080,28405,27808,27490,1530,0
2019/01/02,28000,28250,27800,28100,▲100,＋0.36%,28110,28420,27793,27483,1422,0
2018/12/28,28150,28200,27800,28000,▼150,－0.53%,28240,28438,27778,27475,677,0
2018/12/27,28050,28250,27750,28150,▲100,＋0.36%,28380,28458,27765,27468,1285,0
2018/12/26,28250,28250,28000,28050,▼200,－0.71%,28510,28473,27751,27460,534,0
2018/12/24,28650,28650,28000,28250,▼500,－1.74%,28670,28498,27733,27451,11047,0
2018/12/21,28650,28750,28400,28750,▲50,＋0.17%,28800,28510,27712,27442,3980,0
2018/12/20,28850,28850,28600,28700,▼100,－0.35%,28820,28495,27687,27431,1575,0
2018/12/19,28750,28800,28400,28800,▼50,－0.17%,28860,28490,27663,27418,1719,0
2018/12/18,28850,28850,28700,28850,▼50,－0.17%,28880,28480,27640,27405,779,0
2018/12/17,28750,28900,28750,28900,▲50,＋0.17%,28900,28480,27616,27392,935,0
2018/12/14,28600,28900,28600,28850,▼50,－0.17%,28780,28470,27590,27378,2262,0
2018/12/13,28900,28900,28800,28900,0.0,0.00%,28620,28470,27565,27367,14475,0
2018/12/12,28850,28900,28500,28900,▼50,－0.17%,28450,28390,27538,27355,7354,0
2018/12/11,28550,29250,28250,28950,▲650,＋2.30%,28250,28290,27513,27344,11398,0
2018/12/10,28100,28300,27900,28300,▲250,＋0.89%,27970,28193,27483,27333,2501,0
2018/12/07,27950,28200,27700,28050,0.0,0.00%,27990,28128,27466,27326,1488,0
2018/12/06,27650,28300,27500,28050,▲150,＋0.54%,28070,28073,27450,27322,4294,0
2018/12/05,27550,27900,27550,27900,▲350,＋1.27%,28140,28015,27437,27318,1136,0
2018/12/04,28800,28800,27500,27550,▼850,－2.99%,28250,27965,27423,27315,13866,0
2018/12/03,28700,28700,28350,28400,▼50,－0.18%,28450,27940,27418,27316,528,0
2018/11/30,28400,28550,28400,28450,▲50,＋0.18%,28470,27873,27403,27309,725,0
2018/11/29,28450,28450,28350,28400,▼50,－0.18%,28470,27810,27384,27302,2167,0
2018/11/28,28400,28600,28300,28450,▼100,－0.35%,28510,27733,27363,27294,528,0
