[일시]오리온홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,18500,18600,18000,18500,▲300,＋1.65%,18390,18235,17311,18055,77594,10710209
2019/01/29,18400,18500,18200,18200,▼350,－1.89%,18480,18143,17263,18089,75537,10699411
2019/01/28,18250,18650,18150,18550,▲100,＋0.54%,18530,18088,17213,18130,73691,10713787
2019/01/25,18100,18700,18050,18450,▲200,＋1.10%,18530,18010,17165,18164,61926,10727107
2019/01/24,18850,19100,18200,18250,▼700,－3.69%,18550,17960,17116,18200,114649,10721051
2019/01/23,18600,19000,18500,18950,▲500,＋2.71%,18540,17935,17073,18237,82038,10735652
2019/01/22,18750,18750,18200,18450,▼100,－0.54%,18420,17875,17023,18269,43579,10721790
2019/01/21,18600,18700,18250,18550,0.0,0.00%,18390,17863,16988,18307,44175,10717256
2019/01/18,18400,18600,18000,18550,▲350,＋1.92%,18380,17848,16965,18343,37280,10704593
2019/01/17,18200,18600,18050,18200,▼150,－0.82%,18410,17815,16932,18377,55197,10704824
2019/01/16,18300,18550,18150,18350,▲50,＋0.27%,18470,17818,16916,18417,61012,10695972
2019/01/15,18650,18850,18250,18300,▼200,－1.08%,18530,17780,16895,18458,83442,10678564
2019/01/14,18550,18850,18450,18500,▼200,－1.07%,18400,17743,16878,18503,76851,10659007
2019/01/11,18650,18850,18300,18700,▲200,＋1.08%,18180,17698,16853,18548,75911,10628040
2019/01/10,18600,18850,18500,18500,▼150,－0.80%,17890,17608,16822,18597,123491,10595700
2019/01/09,17400,18800,17400,18650,▲1000,＋5.67%,17540,17528,16788,18654,170873,10574122
2019/01/08,17700,17900,17400,17650,▲250,＋1.44%,17140,17438,16746,18715,47953,10485540
2019/01/07,17300,17750,17200,17400,▲150,＋0.87%,17030,17408,16721,18785,45211,10480007
2019/01/04,16650,17400,16650,17250,▲500,＋2.99%,16950,17390,16713,18859,58393,10472580
2019/01/03,16750,16900,16600,16750,▲100,＋0.60%,16990,17383,16711,18938,47428,10448906
2019/01/02,17000,17200,16550,16650,▼450,－2.63%,17190,17413,16718,19014,34394,10425705
2018/12/28,17050,17400,16900,17100,▲100,＋0.59%,17410,17435,16731,19087,38953,10433917
2018/12/27,17200,17750,16750,17000,▼450,－2.58%,17630,17433,16744,19162,57062,10434131
2018/12/26,17600,17700,17100,17450,▼300,－1.69%,17880,17440,16769,19238,39512,10436110
2018/12/24,17650,17850,17500,17750,0.0,0.00%,17970,17435,16793,19313,28009,10448613
2018/12/21,18450,18450,17700,17750,▼450,－2.47%,18070,17423,16805,19395,54238,10459948
2018/12/20,18050,18400,17950,18200,▼50,－0.27%,18040,17385,16821,19477,43356,10481610
2018/12/19,17950,18500,17950,18250,▲350,＋1.96%,17910,17330,16833,19540,80634,10493114
2018/12/18,18250,18450,17700,17900,▼350,－1.92%,17780,17270,16840,19603,69641,10512516
2018/12/17,17800,18300,17450,18250,▲650,＋3.69%,17580,17198,16852,19672,102894,10518897
2018/12/14,17800,17850,17300,17600,▲50,＋0.28%,17310,17110,16864,19740,71441,10503833
2018/12/13,17600,17800,17300,17550,▼50,－0.28%,17160,17028,16892,19813,136101,10494008
2018/12/12,17200,17800,16750,17600,▲700,＋4.14%,17060,16950,16919,19883,110514,10516617
2018/12/11,16800,17050,16700,16900,0.0,0.00%,16950,16845,16950,19946,52999,10502812
2018/12/10,16500,17100,16500,16900,▲50,＋0.30%,16990,16778,16985,20022,39961,10513118
2018/12/07,17150,17250,16700,16850,▼200,－1.17%,17080,16708,17012,20095,48608,10508579
2018/12/06,17050,17300,16950,17050,0.0,0.00%,17130,16635,17041,20175,65163,10521467
2018/12/05,17000,17200,16900,17050,▼50,－0.29%,17130,16563,17085,20253,44160,10524906
2018/12/04,17450,17500,17050,17100,▼250,－1.44%,17150,16483,17132,20336,36545,10530507
2018/12/03,17250,17500,16950,17350,▲250,＋1.46%,17200,16390,17181,20418,50916,10534261
2018/11/30,17150,17250,16750,17100,▲50,＋0.29%,17230,16285,17226,20496,82159,10550202
2018/11/29,17400,17400,17000,17050,▼100,－0.58%,17210,16210,17273,20556,53086,10551167
2018/11/28,17250,17350,16950,17150,▼200,－1.15%,17220,16120,17323,20622,69587,10551848
2018/11/27,17550,17600,17200,17350,▼150,－0.86%,17200,16045,17371,20680,62970,10556562
2018/11/26,16900,17700,16900,17500,▲500,＋2.94%,17020,15953,17416,20735,80712,10571556
2018/11/23,16900,17100,16800,17000,▼100,－0.58%,16820,15863,17459,20790,55542,10565277
2018/11/22,17000,17250,16700,17100,▲50,＋0.29%,16610,15808,17511,20849,103031,10600266
2018/11/21,16300,17150,15850,17050,▲600,＋3.65%,16390,15773,17561,20908,303131,10615606
2018/11/20,16150,16550,16050,16450,▼50,－0.30%,16080,15778,17609,20963,128064,10635779
2018/11/19,15900,16600,15900,16500,▲550,＋3.45%,15900,15783,17673,21028,67924,10692332
2018/11/16,16150,16250,15750,15950,▼50,－0.31%,15700,15820,17731,21092,85650,10700491
2018/11/15,15650,16100,15550,16000,▲500,＋3.23%,15590,15878,17797,21161,79954,10713233
2018/11/14,15650,15700,15450,15500,▼50,－0.32%,15510,15940,17863,21233,59663,10718842
2018/11/13,15150,15650,15050,15550,▲50,＋0.32%,15500,16015,17975,21308,76287,10735255
2018/11/12,15300,15600,15150,15500,▲100,＋0.65%,15440,16080,18084,21382,50907,10753155
2018/11/09,15800,15900,15350,15400,▼200,－1.28%,15390,16128,18203,21458,70913,10746765
2018/11/08,15700,15900,15550,15600,▲150,＋0.97%,15430,16165,18313,21538,96675,10751760
2018/11/07,15750,16200,15300,15450,▲200,＋1.31%,15360,16193,18429,21613,192994,10760831
2018/11/06,15300,15450,15050,15250,0.0,0.00%,15400,16265,18548,21680,70447,10780113
2018/11/05,15450,15650,15050,15250,▼350,－2.24%,15450,16360,18674,21750,80660,10780555
2018/11/02,15350,15700,15250,15600,▲350,＋2.30%,15540,16458,18800,21822,72087,10789691
2018/11/01,15500,15800,15200,15250,▼400,－2.56%,15600,16548,18916,21893,53587,10785415
2018/10/31,15500,15650,15200,15650,▲150,＋0.97%,15830,16680,19046,21970,71783,10835536
2018/10/30,15050,15700,14950,15500,▼200,－1.27%,16130,16823,19163,22045,133713,10840973
2018/10/29,15600,16300,15500,15700,▼200,－1.26%,16340,16990,19283,22120,74219,10840049
2018/10/26,16400,16900,15650,15900,▼500,－3.05%,16650,17130,19401,22190,88191,10829790
2018/10/25,16900,16900,16150,16400,▼750,－4.37%,16890,17270,19515,22258,90403,10833807
2018/10/24,16800,17250,16600,17150,▲600,＋3.63%,17060,17395,19626,22323,76169,10846444
2018/10/23,16850,17250,16350,16550,▼700,－4.06%,17030,17473,19720,22383,75202,10833684
2018/10/22,17100,17400,16650,17250,▲150,＋0.88%,17090,17575,19823,22448,54914,10859707
2018/10/19,17250,17300,16750,17100,▼150,－0.87%,16930,17663,19918,22509,64512,10861377
