[일시]유한양행,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,236500,238000,234500,237500,▲3000,＋1.28%,235400,229825,222159,217686,44572,2888681
2019/01/29,235000,236500,233000,234500,▼1500,－0.64%,234800,228400,221039,217493,44360,2886886
2019/01/28,236000,238000,234000,236000,▲1000,＋0.43%,234500,226900,219826,217325,66068,2880024
2019/01/25,234000,235000,231000,235000,▲1000,＋0.43%,233200,225375,218564,217137,49619,2881987
2019/01/24,234000,236000,230500,234000,▼500,－0.21%,232900,224175,217742,216953,50881,2879149
2019/01/23,233000,235000,230500,234500,▲1500,＋0.64%,232400,223001,216872,216777,53717,2873505
2019/01/22,226500,234000,226500,233000,▲3500,＋1.53%,232800,221778,216113,216613,65571,2867959
2019/01/21,234500,234500,228000,229500,▼4000,－1.71%,232900,220462,215491,216398,38526,2724705
2019/01/18,231500,234000,228500,233500,▲2000,＋0.86%,231700,219370,214960,216240,44283,2721026
2019/01/17,236500,238000,231500,231500,▼5000,－2.11%,230200,217957,214282,216020,60820,2712200
2019/01/16,235000,239000,232500,236500,▲3000,＋1.28%,229500,216525,213725,215841,87072,2730743
2019/01/15,225500,241000,225500,233500,▲10000,＋4.47%,227500,214820,213164,215585,237950,2741189
2019/01/14,225000,225500,220000,223500,▼2500,－1.11%,226800,213431,212613,215393,51351,2718439
2019/01/11,228500,230000,226000,226000,▼2000,－0.88%,227700,212495,212222,215333,63157,2706971
2019/01/10,225000,232500,225000,228000,▲1500,＋0.66%,226500,211386,211780,215260,91051,2707333
2019/01/09,232000,232500,226500,226500,▼3500,－1.52%,222000,210345,211305,215162,113755,2693351
2019/01/08,231000,234500,226000,230000,▲2000,＋0.88%,218500,209378,210864,215053,186194,2674397
2019/01/07,262500,263000,226000,228000,▲8000,＋3.64%,213400,208260,210324,214870,638906,2660212
2019/01/04,205000,220000,203000,220000,▲14500,＋7.06%,208900,207865,209961,214733,109594,2742515
2019/01/03,210000,212000,205000,205500,▼3500,－1.67%,207099,208108,209810,214658,49890,2739860
