[일시]일신방직,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,95700,96400,95700,96300,▲100,＋0.10%,96180,96740,96600,102798,894,167826
2019/01/29,96200,96300,95500,96200,▼100,－0.10%,95980,96735,96615,102904,1077,167629
2019/01/28,96200,96500,95900,96300,▲200,＋0.21%,95940,96725,96617,103003,1767,167672
2019/01/25,96100,96400,95500,96100,▲100,＋0.10%,95940,96680,96603,103100,1811,167626
2019/01/24,95800,96200,95500,96000,▲700,＋0.73%,95920,96630,96585,103191,573,167545
2019/01/23,95400,95900,95300,95300,▼700,－0.73%,96160,96700,96618,103291,1052,167425
2019/01/22,96300,96400,95500,96000,▼300,－0.31%,96780,96810,96668,103409,316,167371
2019/01/21,96900,96900,95500,96300,▲300,＋0.31%,97340,96875,96752,103505,849,167362
2019/01/18,96300,97400,95400,96000,▼1200,－1.23%,97800,96920,96847,103615,1709,167329
2019/01/17,98200,98200,96800,97200,▼1200,－1.22%,98220,97020,96963,103723,827,167305
2019/01/16,99100,99100,97800,98400,▼400,－0.40%,98200,97070,97068,103847,362,167285
2019/01/15,98600,98800,98200,98800,▲200,＋0.20%,97920,97050,97187,103977,534,167266
2019/01/14,98100,99100,98100,98600,▲500,＋0.51%,97480,96955,97348,104108,862,167187
2019/01/11,97500,99900,97400,98100,▲1000,＋1.03%,97160,96815,97547,104257,306,166970
2019/01/10,96900,97200,96100,97100,▲100,＋0.10%,96660,96670,97753,104402,255,166905
2019/01/09,96900,97500,96500,97000,▲400,＋0.41%,96420,96615,97952,104559,662,166890
2019/01/08,96800,97100,96000,96600,▼400,－0.41%,96260,96625,98168,104718,573,166740
2019/01/07,96500,97500,95000,97000,▲1400,＋1.46%,96140,96650,98333,104875,794,166631
2019/01/04,96400,96800,94900,95600,▼300,－0.31%,95820,96670,98517,105042,824,166549
2019/01/03,96200,96800,95900,95900,▼300,－0.31%,95720,96750,98782,105216,494,166487
2019/01/02,95300,96200,95300,96200,▲200,＋0.21%,96020,96795,99025,105413,362,166414
2018/12/28,95500,96000,95000,96000,▲600,＋0.63%,96280,96780,99255,105598,343,166400
2018/12/27,94800,95700,94400,95400,▲300,＋0.32%,96540,96795,99480,105786,372,166347
2018/12/26,96100,96100,94700,95100,▼2300,－2.36%,96900,96760,99707,105970,1665,166337
2018/12/24,97500,97800,96200,97400,▼100,－0.10%,97480,96790,99938,106148,410,166439
2018/12/21,97300,97500,96200,97500,▲200,＋0.21%,97640,96695,100123,106295,258,166459
2018/12/20,96100,97300,96100,97300,▲100,＋0.10%,97740,96595,100307,106428,372,166449
2018/12/19,96600,97400,96200,97200,▼800,－0.82%,97660,96515,100477,106584,1385,166412
2018/12/18,97700,98100,97200,98000,▼200,－0.20%,97380,96455,100657,106745,454,166757
2018/12/17,98000,98700,97700,98200,▲200,＋0.20%,96820,96330,100832,106945,242,166835
2018/12/14,96300,98700,96300,98000,▲1100,＋1.14%,96380,96230,101012,107123,1171,166803
2018/12/13,96000,97200,95800,96900,▲1100,＋1.15%,96220,96175,101203,107310,418,166648
2018/12/12,95300,95900,94400,95800,▲600,＋0.63%,96260,96205,101405,107503,1753,166527
2018/12/11,95500,95500,94000,95200,▼800,－0.83%,96580,96280,101642,107704,2181,166419
2018/12/10,97200,97200,94200,96000,▼1200,－1.23%,96980,96340,101880,107890,2344,166511
2018/12/07,96500,97200,96300,97200,▲100,＋0.10%,97140,96390,102097,108098,408,166585
2018/12/06,96200,97400,96200,97100,▼300,－0.31%,96880,96420,102310,108293,410,166634
2018/12/05,96100,97400,95800,97400,▲200,＋0.21%,96720,96430,102525,108517,705,166669
2018/12/04,96000,97200,95700,97200,▲400,＋0.41%,96180,96375,102793,108763,1255,166599
2018/12/03,96900,96900,96000,96800,▲900,＋0.94%,95880,96330,103065,108953,1337,166742
2018/11/30,96000,96300,95300,95900,▼400,－0.42%,95620,96265,103352,109076,876,166703
2018/11/29,95700,96900,95000,96300,▲1600,＋1.69%,95540,96330,103687,109210,1988,166832
2018/11/28,95400,95400,94600,94700,▼1000,－1.04%,95420,96330,103998,109341,1664,166481
2018/11/27,95200,95800,94600,95700,▲200,＋0.21%,95680,96370,104353,109460,1165,166524
2018/11/26,95000,95800,94200,95500,0.0,0.00%,95640,96335,104667,109571,1846,166336
2018/11/23,95800,96000,94900,95500,▼200,－0.21%,95780,96460,105008,109683,742,166306
2018/11/22,96500,96500,94400,95700,▼300,－0.31%,96060,96600,105392,109788,1161,166374
2018/11/21,95000,96400,94200,96000,▲500,＋0.52%,96420,96865,105705,109882,1830,166448
2018/11/20,95200,95700,94700,95500,▼700,－0.73%,96680,97165,106088,109965,1583,166460
2018/11/19,97600,97600,95700,96200,▼700,－0.72%,96860,97540,106472,110048,6993,166330
2018/11/16,97500,97800,95300,96900,▼600,－0.62%,97020,97905,106802,110126,2609,165886
2018/11/15,97700,97700,96800,97500,▲200,＋0.21%,97200,98335,107078,110214,1418,165872
2018/11/14,96200,97400,93700,97300,▲900,＋0.93%,97160,98885,107345,110293,2907,166098
2018/11/13,96900,96900,95400,96400,▼600,－0.62%,96960,99545,107540,110378,1426,165987
2018/11/12,97800,97800,96500,97000,▼800,－0.82%,96940,100250,107725,110475,1328,166309
2018/11/09,96700,97800,96700,97800,▲500,＋0.51%,96640,100850,107925,110546,1696,166181
2018/11/08,97600,98100,96700,97300,▲1000,＋1.04%,96520,101460,108112,110598,602,166198
2018/11/07,96900,98000,96200,96300,0.0,0.00%,96320,101920,108307,110645,976,165878
2018/11/06,95800,96500,95200,96300,▲800,＋0.84%,96160,102505,108518,110697,1314,166049
2018/11/05,96600,96900,94200,95500,▼1700,－1.75%,95900,103265,108763,110748,3799,165953
2018/11/02,96100,97200,96100,97200,▲900,＋0.93%,96400,104015,108997,110811,1563,166329
2018/11/01,96200,97400,95800,96300,▲800,＋0.84%,96620,104655,109193,110863,1528,166355
2018/10/31,95000,96000,93700,95500,▲500,＋0.53%,97560,105315,109388,110932,1575,166507
2018/10/30,96500,97800,93300,95000,▼3000,－3.06%,98860,105990,109597,111007,2813,166475
2018/10/29,97500,98700,95000,98000,▼300,－0.31%,100460,106690,109797,111090,1847,166710
2018/10/26,101000,101000,98000,98300,▼2700,－2.67%,101560,107215,109963,111148,1648,166841
2018/10/25,101000,101000,99700,101000,▼1000,－0.98%,103000,107725,110150,111204,888,167281
2018/10/24,103500,103500,101000,102000,▼1000,－0.97%,104500,108050,110258,111238,1553,167468
2018/10/23,104000,104000,102000,103000,▼500,－0.48%,106200,108350,110383,111263,873,167659
2018/10/22,104000,106000,101500,103500,▼2000,－1.90%,107700,108625,110483,111283,2642,167868
2018/10/19,107500,107500,103000,105500,▼3000,－2.76%,108800,108900,110625,111288,5075,167981
2018/10/18,110000,110000,107000,108500,▼2000,－1.81%,109700,109100,110767,111279,1386,168626
2018/10/17,109500,111500,108500,110500,0.0,0.00%,109300,109125,110867,111246,1275,168810
2018/10/16,109000,111500,109000,110500,▲1500,＋1.38%,108800,109100,110967,111204,684,168651
2018/10/15,108000,110500,108000,109000,▼1000,－0.91%,109000,109050,111050,111163,1566,168669
2018/10/12,107000,110000,107000,110000,▲3500,＋3.29%,109300,109050,111167,111133,2032,168826
2018/10/11,106500,108000,106000,106500,▼1500,－1.39%,109300,109050,111267,111104,1672,168914
2018/10/10,110500,111500,107000,108000,▼3500,－3.14%,109900,109225,111417,111104,1917,169011
2018/10/08,110500,113000,109500,111500,▲1000,＋0.90%,110100,109500,111567,111092,1621,169287
2018/10/05,109500,110500,108000,110500,▲500,＋0.45%,109600,109600,111650,111054,1205,169290
2018/10/04,109500,110000,107000,110000,▲500,＋0.46%,109200,109775,111800,111025,1920,169470
2018/10/02,109000,110000,108000,109500,▲500,＋0.46%,108900,110075,111942,111000,1108,170046
2018/10/01,109000,109500,108000,109000,0.0,0.00%,108500,110350,112092,110983,545,170250
2018/09/28,108500,109000,108000,109000,▲500,＋0.46%,108300,110700,112233,110967,1143,170368
2018/09/27,108500,108500,107000,108500,0.0,0.00%,108200,110975,112358,110950,830,170368
2018/09/21,107500,108500,106500,108500,▲1000,＋0.93%,108300,111350,112467,110942,973,170466
2018/09/20,108000,108000,106500,107500,▼500,－0.46%,108500,111850,112550,110933,2406,169908
2018/09/19,108500,109000,107500,108000,▼500,－0.46%,108800,112200,112692,110925,1090,170274
2018/09/18,109000,109000,107000,108500,▼500,－0.46%,109200,112750,112833,110917,1476,170037
2018/09/17,109000,109500,107500,109000,▼500,－0.46%,109400,113250,113058,110908,1249,170045
2018/09/14,109000,109500,108000,109500,▲500,＋0.46%,109400,113600,113233,110896,2100,170019
2018/09/13,110000,110000,108500,109000,▼1000,－0.91%,109500,113800,113417,110888,1872,170157
2018/09/12,109500,110000,107500,110000,▲500,＋0.46%,109700,114025,113600,110883,6120,170401
2018/09/11,109000,109500,108500,109500,▲500,＋0.46%,110400,113975,113767,110863,1757,169627
2018/09/10,109500,109500,107500,109000,▼1000,－0.91%,111200,113875,113900,110833,1945,169205
2018/09/07,110000,110000,108000,110000,0.0,0.00%,112200,113875,114100,110821,2401,169222
2018/09/06,113000,113000,109000,110000,▼3500,－3.08%,113400,113825,114275,110796,4226,168857
2018/09/05,112000,113500,111500,113500,0.0,0.00%,114400,113775,114508,110771,918,168853
2018/09/04,113000,113500,109500,113500,▼500,－0.44%,114900,113550,114733,110725,5285,168846
2018/09/03,115500,115500,112500,114000,▼2000,－1.72%,115100,113425,114842,110688,1089,168746
2018/08/31,115000,116000,113500,116000,▲1000,＋0.87%,115500,113200,114800,110638,1121,168992
2018/08/30,114500,116000,113500,115000,▼1000,－0.86%,116000,112850,114733,110567,1548,169144
2018/08/29,114500,116000,113500,116000,▲1500,＋1.31%,115900,112500,114683,110496,1264,169068
2018/08/28,116000,116000,113000,114500,▼1500,－1.29%,116500,112100,114567,110417,1625,169010
2018/08/27,118500,118500,115000,116000,▼2500,－2.11%,117300,111725,114475,110358,1916,168936
