[일시]일양약품,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,28400,28950,28300,28850,▲600,＋2.12%,28310,28040,29105,30684,62404,1770656
2019/01/29,28400,28400,27800,28250,▼200,－0.70%,28140,27958,29078,30712,57537,1755556
2019/01/28,28300,28550,28150,28450,▲350,＋1.25%,28090,27920,29038,30748,56358,1754845
2019/01/25,28300,28300,27800,28100,▲200,＋0.72%,28000,27878,28991,30780,59027,1748876
2019/01/24,28000,28250,27750,27900,▼100,－0.36%,28070,27835,28953,30811,47296,1742864
2019/01/23,28000,28350,27650,28000,0.0,0.00%,28090,27870,28912,30838,41762,1742045
2019/01/22,28100,28400,27800,28000,0.0,0.00%,28000,27978,28900,30865,42399,1735530
2019/01/21,28450,28600,27850,28000,▼450,－1.58%,27970,28083,28913,30890,36156,1729029
2019/01/18,28000,28600,28000,28450,▲450,＋1.61%,27970,28203,28940,30921,30644,1732526
2019/01/17,27600,28450,27500,28000,▲450,＋1.63%,27920,28288,28955,30945,46840,1730981
2019/01/16,27900,28500,27500,27550,▼300,－1.08%,27960,28423,28998,30977,46274,1724646
2019/01/15,28300,28600,27800,27850,▼150,－0.54%,28200,28598,29054,31012,42788,1726898
2019/01/14,28050,28400,27850,28000,▼200,－0.71%,28300,28773,29093,31045,28363,1728454
2019/01/11,28150,28750,28100,28200,0.0,0.00%,28250,28898,29131,31087,28265,1722692
2019/01/10,28800,29000,28200,28200,▼550,－1.91%,28170,28988,29158,31125,31733,1725057
2019/01/09,28350,29150,28000,28750,▲400,＋1.41%,27800,29088,29185,31165,47217,1726628
2019/01/08,28000,28550,27750,28350,▲600,＋2.16%,27490,29153,29215,31196,34965,1724397
2019/01/07,28150,28150,27500,27750,▼50,－0.18%,27320,29240,29246,31230,34740,1769079
2019/01/04,26000,27850,25850,27800,▲1450,＋5.50%,27290,29383,29317,31271,70990,1772726
2019/01/03,27150,27500,26350,26350,▼850,－3.13%,27180,29530,29405,31312,61169,1718116
2019/01/02,27700,28250,27000,27200,▼300,－1.09%,27630,29743,29522,31363,61393,1725822
2018/12/28,27250,28000,27250,27500,▼100,－0.36%,28220,29878,29648,31402,32378,1742449
2018/12/27,27550,28300,27100,27600,▲350,＋1.28%,28740,30013,29761,31443,60795,1747480
2018/12/26,28450,28450,26650,27250,▼1350,－4.72%,29300,30138,29891,31476,89138,1761219
2018/12/24,29900,30500,28500,28600,▼1550,－5.14%,29880,30285,30036,31510,103648,1772988
2018/12/21,30100,30450,30000,30150,▲50,＋0.17%,30300,30375,30157,31541,30095,1790267
2018/12/20,30450,31100,29800,30100,▼300,－0.99%,30480,30358,30239,31565,37159,1785545
2018/12/19,30250,30600,29950,30400,▲250,＋0.83%,30730,30355,30318,31599,32369,1787137
2018/12/18,30400,30800,29850,30150,▼550,－1.79%,30750,30365,30387,31634,44384,1785884
2018/12/17,31100,31450,30250,30700,▼350,－1.13%,30720,30355,30463,31669,40300,1791032
2018/12/14,31350,31600,30700,31050,▼300,－0.96%,30620,30343,30525,31695,44764,1800083
2018/12/13,30800,32250,30300,31350,▲850,＋2.79%,30420,30285,30589,31727,111544,1811170
2018/12/12,29850,30550,29850,30500,▲500,＋1.67%,30170,30198,30646,31758,35804,1790473
2018/12/11,30300,30350,29850,30000,▼200,－0.66%,30190,30175,30703,31797,24652,1783519
2018/12/10,29800,30450,29450,30200,▲150,＋0.50%,30340,30150,30769,31875,39951,1787578
2018/12/07,30500,30500,29450,30050,▼50,－0.17%,30420,30093,30832,31960,35300,1779097
2018/12/06,30800,30800,29950,30100,▼500,－1.63%,30390,30045,30889,32050,34744,1778560
2018/12/05,30250,30900,30250,30600,▼150,－0.49%,30410,29965,30946,32130,27487,1780025
2018/12/04,30600,30750,30300,30750,▲150,＋0.49%,30310,29815,31004,32203,39454,1777846
2018/12/03,30000,30700,30000,30600,▲700,＋2.34%,30200,29688,31058,32272,39126,1777263
2018/11/30,29950,30550,29850,29900,▼300,－0.99%,30160,29533,31111,32348,46250,1763933
2018/11/29,30450,30650,30150,30200,▲100,＋0.33%,30140,29398,31176,32429,30052,1771491
2018/11/28,30400,30500,29950,30100,▼100,－0.33%,30110,29183,31226,32509,18228,1762277
2018/11/27,30750,30750,29950,30200,▼200,－0.66%,30210,28958,31283,32596,28813,1759987
2018/11/26,29950,30550,29800,30400,▲600,＋2.01%,30160,28738,31333,32683,38314,1767265
2018/11/23,30050,30450,29750,29800,▼250,－0.83%,30170,28490,31391,32757,24168,1753974
2018/11/22,30600,30650,29850,30050,▼550,－1.80%,30190,28365,31455,32843,40961,1774722
2018/11/21,29200,30750,29200,30600,▲650,＋2.17%,30100,28303,31504,32922,50188,1786537
2018/11/20,30150,30450,29700,29950,▼500,－1.64%,29990,28253,31544,33000,50176,1780740
2018/11/19,29900,30500,29700,30450,▲550,＋1.84%,29900,28223,31601,33085,50244,1775961
2018/11/16,29700,30400,29100,29900,▲300,＋1.01%,29620,28230,31645,33164,42303,1773395
