[일시]조광페인트,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,7250,8040,7250,7800,▲480,＋6.56%,7424,6917,6576,7082,152058,989249
2019/01/29,7380,7400,7290,7320,▼50,－0.68%,7316,6844,6547,7085,12640,994346
2019/01/28,7380,7420,7190,7370,▲10,＋0.14%,7258,6805,6525,7091,14803,995048
2019/01/25,7280,7370,7200,7360,▲90,＋1.24%,7192,6761,6502,7096,13339,995714
2019/01/24,7320,7400,7160,7270,▲10,＋0.14%,7108,6717,6478,7101,27675,994306
2019/01/23,7030,7260,7000,7260,▲230,＋3.27%,7006,6679,6454,7107,45506,997805
2019/01/22,7050,7050,6940,7030,▼10,－0.14%,6936,6642,6438,7113,10618,995017
2019/01/21,6950,7070,6950,7040,▲100,＋1.44%,6910,6619,6431,7120,26690,994992
2019/01/18,6770,7000,6770,6940,▲180,＋2.66%,6858,6604,6430,7129,31933,993711
2019/01/17,6950,6950,6690,6760,▼150,－2.17%,6804,6596,6432,7139,18192,991165
2019/01/16,6930,6950,6820,6910,▲10,＋0.14%,6776,6601,6439,7151,14719,990767
2019/01/15,6790,6960,6780,6900,▲120,＋1.77%,6718,6600,6445,7161,20555,990846
2019/01/14,6700,6790,6650,6780,▲110,＋1.65%,6634,6596,6451,7171,16664,990008
2019/01/11,6770,6770,6570,6670,▲50,＋0.76%,6564,6588,6460,7181,8477,988568
2019/01/10,6650,6700,6530,6620,0.0,0.00%,6510,6575,6468,7192,14206,987992
2019/01/09,6550,6620,6490,6620,▲140,＋2.16%,6462,6565,6477,7205,16439,987048
2019/01/08,6500,6500,6410,6480,▲50,＋0.78%,6406,6564,6488,7217,6776,985340
2019/01/07,6400,6490,6390,6430,▲30,＋0.47%,6416,6577,6501,7229,10120,984658
2019/01/04,6500,6500,6200,6400,▲20,＋0.31%,6430,6596,6519,7242,12122,990806
2019/01/03,6350,6500,6280,6380,▲40,＋0.63%,6444,6620,6539,7254,15423,991880
2019/01/02,6500,6600,6340,6340,▼190,－2.91%,6472,6628,6561,7267,10559,960708
2018/12/28,6600,6600,6460,6530,▲30,＋0.46%,6506,6639,6584,7278,3543,944646
2018/12/27,6420,6600,6420,6500,▲30,＋0.46%,6516,6641,6603,7289,10927,984981
2018/12/26,6360,6490,6360,6470,▼50,－0.77%,6564,6646,6624,7300,18818,984219
2018/12/24,6520,6520,6420,6520,▲10,＋0.15%,6624,6655,6645,7312,8802,985555
2018/12/21,6590,6700,6410,6510,▼70,－1.06%,6692,6648,6668,7327,31838,985661
2018/12/20,6750,6760,6560,6580,▼160,－2.37%,6768,6625,6690,7344,20959,988686
2018/12/19,6880,6880,6640,6740,▼30,－0.44%,6816,6598,6709,7362,25271,993646
2018/12/18,6670,6940,6670,6770,▼90,－1.31%,6792,6564,6727,7383,5352,994764
2018/12/17,6850,6940,6790,6860,▼30,－0.44%,6720,6528,6747,7405,14068,995860
2018/12/14,6900,6910,6770,6890,▲70,＋1.03%,6634,6490,6767,7428,23605,997359
2018/12/13,6560,6910,6560,6820,▲200,＋3.02%,6576,6448,6788,7454,29471,998516
2018/12/12,6410,6620,6400,6620,▲210,＋3.28%,6560,6410,6809,7481,16597,997109
2018/12/11,6500,6620,6310,6410,▼20,－0.31%,6598,6385,6834,7507,12409,994480
2018/12/10,6560,6610,6380,6430,▼170,－2.58%,6690,6366,6860,7535,22064,994877
2018/12/07,6800,6800,6540,6600,▼140,－2.08%,6714,6351,6886,7561,30817,997214
