[일시]종근당홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,61400,61800,61000,61400,▼300,－0.49%,61880,60495,60447,62908,3095,535336
2019/01/29,61700,62500,61200,61700,▼700,－1.12%,61740,60430,60390,62944,3761,534518
2019/01/28,62200,62600,61600,62400,▲200,＋0.32%,61360,60470,60292,62978,3331,534899
2019/01/25,62400,62700,61400,62200,▲500,＋0.81%,60900,60440,60187,62999,5181,534796
2019/01/24,61500,62000,60800,61700,▲1000,＋1.65%,60560,60430,60082,63018,2961,535526
2019/01/23,59200,62100,59200,60700,▲900,＋1.51%,60180,60405,59992,63043,6412,535326
2019/01/22,60300,60300,59800,59800,▼300,－0.50%,60100,60400,59962,63073,2642,534478
2019/01/21,60200,60700,59400,60100,▼400,－0.66%,60440,60360,59958,63101,6354,534383
2019/01/18,59800,61200,59800,60500,▲700,＋1.17%,60660,60305,59965,63135,3724,534161
2019/01/17,60000,60600,59700,59800,▼500,－0.83%,60840,60185,59953,63163,4856,533745
2019/01/16,61000,61500,59900,60300,▼1200,－1.95%,60880,60165,59985,63208,3987,534185
2019/01/15,61200,62400,61100,61500,▲300,＋0.49%,60740,60220,60005,63248,3733,534944
2019/01/14,61100,61200,60600,61200,▼200,－0.33%,60360,60225,60007,63288,885,535249
2019/01/11,60000,61600,59700,61400,▲1400,＋2.33%,59920,60180,60023,63333,6910,535378
2019/01/10,59600,60300,59500,60000,▲400,＋0.67%,59320,60105,60027,63377,2792,535462
2019/01/09,59700,60000,59500,59600,0.0,0.00%,59040,60125,60050,63438,1127,535595
2019/01/08,59100,59800,58800,59600,▲600,＋1.02%,59140,60235,60098,63499,728,535854
2019/01/07,58800,60000,58800,59000,▲600,＋1.03%,59720,60415,60127,63560,3288,535863
2019/01/04,58600,59800,57800,58400,▼200,－0.34%,60280,60680,60227,63627,3773,535746
2019/01/03,60600,60600,58600,58600,▼1500,－2.50%,61000,60970,60348,63694,4058,535569
2019/01/02,62400,62700,59800,60100,▼2400,－3.84%,61520,61215,60487,63749,6272,535999
2018/12/28,61500,62600,61300,62500,▲700,＋1.13%,61620,61360,60597,63786,2549,536311
2018/12/27,62400,62400,61000,61800,▼200,－0.32%,60920,61355,60653,63805,3959,537960
2018/12/26,61100,62000,60400,62000,▲800,＋1.31%,60360,61330,60748,63821,4975,544292
2018/12/24,60500,61600,59800,61200,▲600,＋0.99%,59580,61290,60873,63832,3868,545634
2018/12/21,58900,60600,58300,60600,▲1600,＋2.71%,59220,61275,60997,63862,6516,544831
2018/12/20,59000,59700,58200,59000,0.0,0.00%,59380,61225,61098,63901,1957,549372
2018/12/19,58700,59900,58100,59000,▲900,＋1.55%,59900,61275,61220,63968,3355,549281
2018/12/18,58900,59600,58100,58100,▼1300,－2.19%,60160,61375,61348,64033,9452,551039
2018/12/17,61300,61300,58700,59400,▼2000,－3.26%,60520,61555,61497,64094,10875,553721
2018/12/14,61600,61800,59800,61400,▼200,－0.32%,60720,61645,61623,64129,2885,556227
2018/12/13,60300,62300,59700,61600,▲1300,＋2.16%,60800,61480,61737,64150,4267,555457
2018/12/12,60900,60900,59900,60300,▲400,＋0.67%,61120,61275,61833,64168,4110,555018
2018/12/11,61000,61000,59800,59900,▼500,－0.83%,61920,61105,61937,64196,6825,553664
2018/12/10,60700,62000,60000,60400,▼1400,－2.27%,62780,60980,62060,64244,10739,557528
2018/12/07,63000,64000,61300,61800,▼1400,－2.22%,63400,60835,62168,64297,10430,555433
