[일시]진흥기업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2280,2285,2180,2240,▲10,＋0.45%,2167,2101,2179,2055,596437,463928
2019/01/29,2115,2275,2110,2230,▲120,＋5.69%,2139,2091,2172,2052,942431,518192
2019/01/28,2140,2145,2105,2110,▼25,－1.17%,2139,2083,2165,2049,113860,450048
2019/01/25,2130,2150,2100,2135,▲15,＋0.71%,2130,2083,2159,2047,179783,444407
2019/01/24,2125,2155,2095,2120,▲20,＋0.95%,2126,2084,2152,2046,246122,427673
2019/01/23,2190,2190,2090,2100,▼130,－5.83%,2122,2083,2146,2044,653414,419682
2019/01/22,2080,2410,2035,2230,▲165,＋7.99%,2142,2087,2140,2042,3418620,384087
2019/01/21,2150,2150,2040,2065,▼50,－2.36%,2118,2089,2132,2039,215695,441964
2019/01/18,2090,2155,2065,2115,▲15,＋0.71%,2132,2100,2128,2037,104214,433064
2019/01/17,2220,2220,2075,2100,▼100,－4.55%,2115,2111,2124,2035,179461,432390
2019/01/16,2135,2200,2100,2200,▲90,＋4.27%,2095,2128,2120,2033,301359,463328
2019/01/15,2140,2155,2100,2110,▼25,－1.17%,2053,2139,2115,2030,141259,434280
2019/01/14,2080,2170,2030,2135,▲105,＋5.17%,2034,2155,2111,2029,346160,433842
2019/01/11,2010,2035,1995,2030,▲30,＋1.50%,2016,2168,2107,2027,112292,441524
2019/01/10,1995,2030,1985,2000,▲10,＋0.50%,2020,2180,2105,2026,53084,431428
2019/01/09,2010,2045,1990,1990,▼25,－1.24%,2019,2199,2103,2025,80366,429863
2019/01/08,2060,2075,2010,2015,▼30,－1.47%,2030,2220,2102,2024,68375,433391
2019/01/07,2100,2105,2040,2045,▼5,－0.24%,2040,2240,2101,2023,85132,442211
2019/01/04,1965,2060,1950,2050,▲55,＋2.76%,2055,2259,2100,2022,87471,463988
2019/01/03,2060,2060,1975,1995,▼50,－2.44%,2076,2277,2099,2020,56465,460313
2019/01/02,2055,2130,1900,2045,▼20,－0.97%,2097,2295,2100,2020,118871,461223
2018/12/28,2130,2165,2045,2065,▼55,－2.59%,2122,2304,2099,2018,76109,463421
2018/12/27,2140,2200,2110,2120,▼35,－1.62%,2163,2301,2097,2017,62573,473786
2018/12/26,2060,2280,2020,2155,▲55,＋2.62%,2195,2300,2094,2015,216216,483042
2018/12/24,2170,2170,2100,2100,▼70,－3.23%,2233,2297,2091,2013,60649,493636
2018/12/21,2270,2395,2140,2170,▼100,－4.41%,2301,2295,2090,2012,277861,483469
2018/12/20,2240,2280,2220,2270,▼10,－0.44%,2352,2285,2086,2010,64646,497017
2018/12/19,2350,2360,2220,2280,▼65,－2.77%,2383,2271,2081,2007,79902,491035
2018/12/18,2595,2595,2315,2345,▼95,－3.89%,2404,2261,2076,2004,324582,475543
2018/12/17,2475,2500,2425,2440,▲15,＋0.62%,2391,2253,2072,2001,123494,517020
2018/12/14,2425,2480,2345,2425,0.0,0.00%,2378,2246,2065,1997,197971,522693
2018/12/13,2400,2430,2345,2425,▲40,＋1.68%,2375,2238,2059,1993,47674,538281
2018/12/12,2325,2385,2290,2385,▲105,＋4.61%,2372,2231,2053,1990,49555,530107
2018/12/11,2445,2445,2280,2280,▼95,－4.00%,2381,2229,2047,1987,91902,518699
