[일시]코오롱,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,33400,33400,32900,33100,▲150,＋0.46%,33150,32045,32595,35048,12444,1309061
2019/01/29,32900,33250,32700,32950,▲50,＋0.15%,33020,31913,32575,35112,11076,1303592
2019/01/28,33500,33550,32800,32900,▼600,－1.79%,32760,31810,32537,35184,16517,1304709
2019/01/25,33200,33500,33150,33500,▲200,＋0.60%,32630,31670,32498,35251,13717,1302010
2019/01/24,32350,33500,32050,33300,▲850,＋2.62%,32430,31488,32443,35311,29378,1296313
2019/01/23,31750,32600,31600,32450,▲800,＋2.53%,32190,31338,32384,35372,23561,1281813
2019/01/22,32300,32550,31550,31650,▼600,－1.86%,32090,31250,32353,35433,15892,1272540
2019/01/21,32250,32650,32150,32250,▼250,－0.77%,32180,31210,32353,35499,9054,1271702
2019/01/18,32200,32600,32100,32500,▲400,＋1.25%,32150,31153,32361,35563,18534,1269846
2019/01/17,32300,32300,31850,32100,▲150,＋0.47%,32000,31095,32368,35628,8941,1265801
2019/01/16,32300,32400,31750,31950,▼150,－0.47%,31810,31058,32419,35701,12619,1269549
2019/01/15,31850,32300,31750,32100,0.0,0.00%,31650,31025,32465,35773,11647,1271666
2019/01/14,32100,32350,31500,32100,▲350,＋1.10%,31400,30980,32506,35855,15803,1269064
2019/01/11,30950,32700,30950,31750,▲600,＋1.93%,31250,30940,32554,35929,21363,1264600
2019/01/10,31200,31300,30900,31150,0.0,0.00%,31080,30893,32603,36004,10705,1266869
2019/01/09,30850,31400,30650,31150,▲300,＋0.97%,31030,30885,32658,36084,12881,1267040
2019/01/08,31150,31300,30800,30850,▼500,－1.59%,30890,30995,32716,36163,6590,1265860
2019/01/07,31150,31600,30750,31350,▲450,＋1.46%,30900,31140,32773,36244,21016,1265934
2019/01/04,30750,31100,30200,30900,0.0,0.00%,30650,31278,32873,36326,10881,1256536
2019/01/03,30400,31550,30400,30900,▲450,＋1.48%,30440,31508,32983,36406,28032,1255719
2019/01/02,30950,31250,30400,30450,▼450,－1.46%,30320,31748,33095,36486,12867,1241851
2018/12/28,30100,30950,30100,30900,▲800,＋2.66%,30370,32008,33221,36555,13921,1212985
2018/12/27,30050,30450,29900,30100,▲250,＋0.84%,30360,32270,33353,36620,9928,1236789
2018/12/26,30000,30250,29700,29850,▼450,－1.49%,30560,32580,33502,36690,21781,1232257
2018/12/24,30700,30750,30200,30300,▼400,－1.30%,30860,32905,33663,36777,16859,1237329
2018/12/21,30750,31300,30600,30700,▼150,－0.49%,31070,33175,33815,36875,15266,1234310
2018/12/20,31100,31250,30600,30850,▼250,－0.80%,31190,33445,33955,36972,14953,1235297
2018/12/19,31400,31450,30900,31100,▼250,－0.80%,31260,33723,34090,37077,10055,1233488
2018/12/18,31150,31750,30650,31350,0.0,0.00%,31300,33983,34220,37178,17374,1232328
2018/12/17,31600,31600,31050,31350,▲50,＋0.16%,31190,34238,34364,37281,7654,1241917
2018/12/14,31600,31600,31150,31300,▲100,＋0.32%,31120,34505,34509,37389,13433,1242742
2018/12/13,31500,31650,31150,31200,▼100,－0.32%,31530,34535,34658,37490,16266,1241683
2018/12/12,30750,31300,30700,31300,▲500,＋1.62%,32040,34525,34814,37600,20569,1237288
2018/12/11,31200,31200,30100,30800,▼200,－0.65%,32600,34528,34967,37710,37167,1235386
2018/12/10,33350,33500,30850,31000,▼2350,－7.05%,33540,34548,35125,37839,42362,1230217
2018/12/07,34300,34300,33000,33350,▼400,－1.19%,34480,34595,35287,37979,14590,1227324
2018/12/06,34100,34550,33300,33750,▼350,－1.03%,34940,34575,35401,38090,13006,1227368
2018/12/05,34800,34900,33900,34100,▼1400,－3.94%,35420,34488,35516,38208,24285,1224178
2018/12/04,35850,35850,35300,35500,▼200,－0.56%,35860,34345,35633,38322,9191,1219974
2018/12/03,35550,36150,35500,35700,▲50,＋0.14%,36030,34170,35711,38426,18021,1215674
2018/11/30,36350,36350,35550,35650,▼500,－1.38%,36030,33993,35773,38531,19515,1209146
2018/11/29,37000,37000,36000,36150,▼150,－0.41%,36120,33805,35844,38629,10144,1204885
2018/11/28,37300,37400,35850,36300,▼50,－0.14%,36170,33530,35888,38722,24235,1203387
