[일시]코오롱글로벌,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,8010,8200,8010,8130,▲120,＋1.50%,8214,7918,7315,7507,28692,460890
2019/01/29,8130,8130,7870,8010,▼170,－2.08%,8274,7868,7286,7508,46705,457491
2019/01/28,8370,8400,8120,8180,▼190,－2.27%,8318,7824,7252,7512,30908,460796
2019/01/25,8490,8490,8230,8370,▼10,－0.12%,8360,7765,7214,7513,21854,456684
2019/01/24,8500,8500,8270,8380,▼50,－0.59%,8322,7693,7175,7513,19313,453660
2019/01/23,8230,8460,8160,8430,▲200,＋2.43%,8260,7633,7138,7512,23776,462402
2019/01/22,8390,8440,8230,8230,▼160,－1.91%,8220,7575,7102,7508,21554,458711
2019/01/21,8200,8440,8200,8390,▲210,＋2.57%,8176,7522,7071,7505,47386,459822
2019/01/18,8040,8180,8040,8180,▲110,＋1.36%,8098,7462,7043,7501,26014,454936
2019/01/17,8310,8310,8010,8070,▼160,－1.94%,8018,7418,7024,7498,30201,450575
2019/01/16,8170,8770,8150,8230,▲220,＋2.75%,7902,7383,7008,7500,83652,447875
2019/01/15,7930,8070,7930,8010,▲10,＋0.13%,7754,7341,6992,7502,25547,452364
2019/01/14,8090,8150,7900,8000,▲220,＋2.83%,7626,7310,6980,7505,99153,448721
2019/01/11,7410,7830,7410,7780,▲290,＋3.87%,7476,7278,6968,7510,57136,456011
2019/01/10,7580,7580,7400,7490,0.0,0.00%,7344,7253,6959,7516,17701,454345
2019/01/09,7470,7520,7430,7490,▲120,＋1.63%,7296,7261,6957,7525,27130,457486
2019/01/08,7250,7420,7230,7370,▲120,＋1.66%,7222,7273,6952,7533,30775,456781
2019/01/07,7280,7320,7130,7250,▲130,＋1.83%,7174,7271,6946,7543,29372,454445
2019/01/04,7160,7170,7070,7120,▼130,－1.79%,7124,7279,6952,7554,10883,449473
2019/01/03,7070,7290,6940,7250,▲130,＋1.83%,7088,7295,6961,7564,34772,450059
2019/01/02,7150,7150,6990,7120,▼10,－0.14%,7072,7298,6970,7574,7821,456809
2018/12/28,6980,7130,6980,7130,▲130,＋1.86%,7104,7307,6984,7584,5319,410486
2018/12/27,6940,7080,6930,7000,▲60,＋0.86%,7110,7315,7000,7596,12426,456451
2018/12/26,7170,7170,6840,6940,▼230,－3.21%,7148,7329,7019,7610,30078,453971
2018/12/24,7270,7270,7090,7170,▼110,－1.51%,7222,7346,7037,7626,11508,470328
2018/12/21,7190,7330,7000,7280,▲120,＋1.68%,7262,7346,7054,7648,25129,485359
2018/12/20,7230,7270,7120,7160,▼30,－0.42%,7284,7338,7070,7670,11650,474750
2018/12/19,7370,7370,7190,7190,▼120,－1.64%,7330,7310,7088,7692,23518,470591
2018/12/18,7230,7400,7210,7310,▼60,－0.81%,7364,7285,7108,7714,23643,471373
2018/12/17,7390,7410,7230,7370,▼20,－0.27%,7358,7254,7127,7736,11515,468845
2018/12/14,7300,7450,7300,7390,0.0,0.00%,7412,7227,7146,7758,39577,467556
2018/12/13,7370,7450,7270,7390,▲30,＋0.41%,7482,7187,7163,7781,29071,463960
