[일시]크라운해태홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,11600,11700,11600,11600,0.0,0.00%,11730,11395,11396,12361,10895,762158
2019/01/29,11850,11850,11500,11600,▼200,－1.69%,11710,11360,11376,12382,22029,761987
2019/01/28,11800,11900,11700,11800,0.0,0.00%,11700,11345,11351,12407,21069,765891
2019/01/25,11900,11900,11600,11800,▼50,－0.42%,11630,11310,11318,12427,36769,768686
2019/01/24,11500,12350,11500,11850,▲350,＋3.04%,11590,11270,11282,12448,232449,763759
2019/01/23,11600,11800,11450,11500,▼50,－0.43%,11560,11255,11241,12468,23987,767958
2019/01/22,11500,12000,11450,11550,▲100,＋0.87%,11620,11260,11215,12492,49924,766334
2019/01/21,11600,11650,11400,11450,▼150,－1.29%,11580,11263,11191,12511,21184,758456
2019/01/18,11550,11850,11500,11600,▼100,－0.85%,11550,11280,11177,12532,17374,754374
2019/01/17,11800,11950,11500,11700,▼100,－0.85%,11480,11283,11167,12549,18437,754173
2019/01/16,11400,11850,11350,11800,▲450,＋3.96%,11380,11293,11160,12569,44598,755614
2019/01/15,11450,11500,11250,11350,▲50,＋0.44%,11270,11300,11157,12591,26008,745377
2019/01/14,11250,11500,11100,11300,▲50,＋0.44%,11180,11343,11159,12613,11589,742282
2019/01/11,11050,11300,11050,11250,▲50,＋0.45%,11130,11368,11168,12641,13272,740383
2019/01/10,11250,11350,11000,11200,▼50,－0.44%,11030,11383,11174,12670,7478,741018
2019/01/09,10900,11300,10850,11250,▲350,＋3.21%,10910,11410,11179,12702,22163,737592
2019/01/08,11100,11100,10800,10900,▼150,－1.36%,10840,11440,11185,12735,14739,730143
2019/01/07,10900,11200,10800,11050,▲300,＋2.79%,10920,11470,11198,12767,14939,728745
2019/01/04,10500,10800,10350,10750,▲150,＋1.42%,10930,11508,11222,12799,11101,726100
2019/01/03,10950,11000,10500,10600,▼300,－2.75%,10980,11573,11267,12832,41007,724142
