[일시]태원물산,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,5850,6700,5800,6180,▲330,＋5.64%,5840,5579,4859,4513,372592,232603
2019/01/29,5780,5850,5670,5850,▲90,＋1.56%,5704,5528,4818,4495,65484,256564
2019/01/28,5730,5780,5680,5760,▲30,＋0.52%,5634,5496,4781,4480,28972,254067
2019/01/25,5610,5830,5590,5730,▲50,＋0.88%,5602,5467,4744,4464,53114,250896
2019/01/24,5500,5840,5500,5680,▲180,＋3.27%,5616,5439,4707,4448,195992,247232
2019/01/23,5800,5800,5420,5500,0.0,0.00%,5630,5412,4670,4433,50550,203030
2019/01/22,5550,5690,5500,5500,▼100,－1.79%,5704,5394,4640,4419,47564,206717
2019/01/21,5890,5890,5490,5600,▼200,－3.45%,5724,5375,4614,4404,77320,199178
2019/01/18,5750,5950,5620,5800,▲50,＋0.87%,5744,5350,4587,4389,84965,207132
2019/01/17,5870,5920,5480,5750,▼120,－2.04%,5724,5314,4559,4372,103948,188397
2019/01/16,5660,5910,5510,5870,▲270,＋4.82%,5642,5277,4533,4356,85296,192876
2019/01/15,5700,5920,5450,5600,▼100,－1.75%,5534,5223,4507,4338,184679,186429
2019/01/14,5700,5840,5530,5700,0.0,0.00%,5478,5181,4485,4324,179656,192413
2019/01/11,5330,6090,5250,5700,▲360,＋6.74%,5362,5127,4460,4309,345011,199613
2019/01/10,5340,5410,5150,5340,▲10,＋0.19%,5248,5079,4434,4295,58813,171784
2019/01/09,5410,5810,5180,5330,▲10,＋0.19%,5204,5050,4414,4284,138115,171311
2019/01/08,5120,5350,5020,5320,▲200,＋3.91%,5170,5029,4394,4272,79692,178384
2019/01/07,5080,5180,5060,5120,▼10,－0.19%,5148,5003,4373,4261,31584,170257
2019/01/04,5110,5140,5010,5130,▲10,＋0.20%,5160,5004,4361,4251,32318,163431
2019/01/03,5060,5250,4690,5120,▼40,－0.78%,5168,5001,4350,4241,61450,160981
2019/01/02,5290,5290,5100,5160,▼50,－0.96%,5172,5006,4340,4231,49052,157035
2018/12/28,5200,5230,5100,5210,▲30,＋0.58%,5168,4950,4329,4219,50572,162014
