[일시]한국공항,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,47000,48100,46550,47200,▲2200,＋4.89%,45420,42828,41828,40039,18863,248625
2019/01/29,45300,45300,44650,45000,▲150,＋0.33%,44620,42580,41693,39987,2064,247931
2019/01/28,44850,45500,44550,44850,▼400,－0.88%,44240,42465,41583,39955,2208,247045
2019/01/25,44800,46850,44400,45250,▲450,＋1.00%,43810,42328,41476,39920,10172,252892
2019/01/24,43400,45200,43400,44800,▲1600,＋3.70%,43460,42125,41346,39884,6731,253027
2019/01/23,43450,43450,42950,43200,▲100,＋0.23%,43130,41925,41212,39850,2414,252653
2019/01/22,43000,43500,42500,43100,▲400,＋0.94%,42870,41805,41106,39832,2710,251573
2019/01/21,43500,44000,42650,42700,▼800,－1.84%,42600,41688,41019,39811,2084,251470
2019/01/18,43350,44050,43150,43500,▲350,＋0.81%,42220,41608,40942,39794,3570,251772
2019/01/17,41950,43400,41950,43150,▲1250,＋2.98%,41870,41500,40844,39771,4857,251628
2019/01/16,41950,42400,41750,41900,▲150,＋0.36%,41540,41418,40758,39750,594,251378
2019/01/15,40750,41850,40750,41750,▲950,＋2.33%,41400,41408,40690,39747,1847,251337
2019/01/14,41750,42000,40450,40800,▼950,－2.28%,41300,41395,40622,39745,2434,251144
2019/01/11,41500,41900,41300,41750,▲250,＋0.60%,41390,41430,40567,39739,2221,250917
2019/01/10,41200,41700,41200,41500,▲300,＋0.73%,41320,41390,40496,39734,2511,250798
2019/01/09,41250,41500,40700,41200,▼50,－0.12%,41220,41360,40426,39733,1260,250757
2019/01/08,41000,41750,40900,41250,0.0,0.00%,41430,41375,40361,39731,854,250823
2019/01/07,41000,41950,41000,41250,▼150,－0.36%,41720,41373,40291,39728,1870,250816
2019/01/04,41000,41450,40000,41400,▲400,＋0.98%,41890,41393,40233,39722,988,250846
2019/01/03,42050,42250,41000,41000,▼1250,－2.96%,41850,41428,40174,39703,1774,250904
2019/01/02,42700,42950,42000,42250,▼450,－1.05%,41810,41493,40127,39688,2933,251065
2018/12/28,42250,42700,41950,42700,▲600,＋1.43%,41520,41483,40063,39660,2707,251065
2018/12/27,41450,42250,41350,42100,▲900,＋2.18%,41130,41448,39984,39632,1465,250899
2018/12/26,40500,41200,40400,41200,▲400,＋0.98%,40930,41430,39917,39610,6702,250707
2018/12/24,40850,41000,40500,40800,0.0,0.00%,40960,41475,39866,39591,5056,250675
2018/12/21,40750,41000,40100,40800,▲50,＋0.12%,41100,41558,39823,39580,4789,258045
2018/12/20,40750,41050,40600,40750,▼350,－0.85%,41280,41648,39768,39565,3282,261194
2018/12/19,41000,41500,40900,41100,▼250,－0.60%,41430,41745,39716,39550,4260,262824
2018/12/18,41800,41800,40400,41350,▼150,－0.36%,41510,41838,39658,39536,634,262922
2018/12/17,41000,41850,40950,41500,▼200,－0.48%,41430,41905,39596,39518,1193,262921
2018/12/14,41350,41800,40850,41700,▲200,＋0.48%,41310,41963,39533,39499,1620,264110
2018/12/13,41500,41500,41000,41500,0.0,0.00%,41270,42018,39478,39489,2141,264495
2018/12/12,41800,41800,41000,41500,▲550,＋1.34%,41210,41968,39415,39492,140,264502
2018/12/11,41000,41300,40300,40950,▲50,＋0.12%,41240,41868,39348,39489,552,264516
2018/12/10,41500,41850,40300,40900,▼600,－1.45%,41470,41770,39289,39505,1266,264648
2018/12/07,41000,42150,41000,41500,▲300,＋0.73%,41750,41710,39233,39539,1154,264928
2018/12/06,41300,41950,40950,41200,▼450,－1.08%,41860,41630,39166,39568,817,264915
2018/12/05,41200,41800,40950,41650,▼450,－1.07%,42020,41570,39103,39598,1948,264927
2018/12/04,42300,42850,41500,42100,▼200,－0.47%,42040,41453,39035,39625,889,264929
2018/12/03,42750,43050,42050,42300,▲250,＋0.59%,42040,41310,38963,39650,1782,264867
2018/11/30,42500,42500,41400,42050,▲50,＋0.12%,42070,41165,38890,39658,1210,263769
2018/11/29,41550,42500,41550,42000,▲250,＋0.60%,42180,41018,38828,39661,3668,263733
2018/11/28,42250,42250,41300,41750,▼350,－0.83%,42320,40838,38768,39672,1222,263054
