[일시]한국석유,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,150500,161500,150500,156000,▲5500,＋3.65%,154800,149575,140267,153258,16069,19727
2019/01/29,155000,155000,149000,150500,▼3500,－2.27%,155700,148200,139958,153279,6334,17966
2019/01/28,155500,158000,153000,154000,▼2500,－1.60%,157500,147400,139558,153342,5536,17091
2019/01/25,156500,158000,154500,156500,▼500,－0.32%,158600,146400,139092,153346,5057,16859
2019/01/24,164000,165000,156500,157000,▼3500,－2.18%,159900,145275,138617,153383,6532,15505
2019/01/23,159500,162000,157000,160500,▲1000,＋0.63%,159900,144125,137975,153392,6599,15989
2019/01/22,159500,166000,158500,159500,0.0,0.00%,159900,142700,137475,153358,9520,15128
2019/01/21,164000,164000,158500,159500,▼3500,－2.15%,157900,141225,137117,153279,5377,16305
2019/01/18,157500,163500,155000,163000,▲6000,＋3.82%,155500,139750,136725,153204,9138,16997
2019/01/17,167000,170000,155000,157000,▼3500,－2.18%,152200,138025,136342,152958,29683,16168
2019/01/16,149500,175500,149500,160500,▲11000,＋7.36%,148500,136750,136108,152817,39649,17268
2019/01/15,147500,150500,146000,149500,▲2000,＋1.36%,144500,135650,135958,152646,4816,16845
2019/01/14,148000,150500,144500,147500,▲1000,＋0.68%,142600,135075,136000,152604,6813,16690
2019/01/11,140500,146500,138000,146500,▲8000,＋5.78%,140000,134500,136100,152604,6612,17570
2019/01/10,141000,143500,138500,138500,▼2000,－1.42%,136900,134075,136067,152650,2813,16841
2019/01/09,140500,143000,139000,140500,▲500,＋0.36%,135100,134400,136150,152775,4720,17130
2019/01/08,134500,145000,134500,140000,▲5500,＋4.09%,132700,135175,136233,152846,11174,16666
2019/01/07,132000,134500,131000,134500,▲3500,＋2.67%,131600,135625,136233,152950,4337,14207
2019/01/04,128000,131000,126500,131000,▲1500,＋1.16%,131500,136575,136542,152996,3090,13630
2019/01/03,129000,134500,128500,129500,▲1000,＋0.78%,132100,137575,137258,153071,4998,13648
2019/01/02,136000,136000,128500,128500,▼6000,－4.46%,133000,138525,138008,153296,6390,13556
2018/12/28,134000,135500,132000,134500,▲500,＋0.37%,133700,138825,138833,153492,2301,14358
2018/12/27,134000,136000,132000,134000,0.0,0.00%,132800,138800,139458,153713,2495,14167
2018/12/26,133000,135000,130000,134000,0.0,0.00%,132000,138700,140108,153958,4319,13903
2018/12/24,131000,134500,130500,134000,▲2000,＋1.52%,130900,138900,140767,154121,3645,14282
2018/12/21,130000,135000,129000,132000,▲2000,＋1.54%,130400,139100,141550,154400,4493,14692
2018/12/20,130000,134000,129000,130000,0.0,0.00%,131700,139275,142508,154633,6298,14816
2018/12/19,129000,131000,127500,130000,▲1500,＋1.17%,133300,139500,143442,154967,2401,15728
2018/12/18,128000,132000,126500,128500,▼3000,－2.28%,134500,139750,144400,155408,10805,15846
2018/12/17,138500,138500,130500,131500,▼7000,－5.05%,136400,139950,145392,156017,7193,15507
2018/12/14,141500,142500,136000,138500,▲500,＋0.36%,139100,140100,146508,156538,3567,16523
2018/12/13,136000,140500,136000,138000,▲2000,＋1.47%,142600,139625,147692,157096,4277,16590
2018/12/12,141000,142000,134000,136000,▼2000,－1.45%,144800,139125,148933,157658,4679,16340
2018/12/11,146000,146000,136500,138000,▼7000,－4.83%,148300,138575,150267,158246,5207,16451
2018/12/10,151500,152500,143500,145000,▼11000,－7.05%,150900,138050,151125,158796,7181,15458
2018/12/07,148500,157000,148500,156000,▲7000,＋4.70%,151600,137275,151883,159229,11499,15635
2018/12/06,153000,154000,146000,149000,▼4500,－2.93%,147300,136050,152458,159254,4498,15635
2018/12/05,147500,157500,146000,153500,▲2500,＋1.66%,144300,135300,152975,159688,9412,15901
2018/12/04,148500,154000,146500,151000,▲2500,＋1.68%,140000,134025,153242,160225,9774,16500
2018/12/03,139500,156000,137500,148500,▲14000,＋10.41%,137400,133225,153608,160725,39621,15688
2018/11/30,135000,135500,132000,134500,▲500,＋0.37%,135300,132700,154042,161458,2908,16187
2018/11/29,135000,136500,133000,134000,▲2000,＋1.52%,135500,132850,154667,162313,3988,15746
2018/11/28,138500,138500,130500,132000,▼6000,－4.35%,135600,132475,155233,163088,6000,15232
2018/11/27,135500,138500,134500,138000,0.0,0.00%,136200,132175,155658,163788,3602,15352
2018/11/26,145000,145500,135500,138000,▲2500,＋1.85%,135100,131675,156000,164346,6822,14395
2018/11/23,135500,142500,134500,135500,▲1000,＋0.74%,134400,130700,156433,164513,11831,15034
2018/11/22,137000,137500,132500,134500,▼500,－0.37%,133100,130450,157117,164704,2869,15961
2018/11/21,131000,140500,131000,135000,▲2500,＋1.89%,131800,130625,157833,164996,12439,16588
2018/11/20,131000,133500,131000,132500,▼2000,－1.49%,129800,130675,158517,165029,3002,17655
2018/11/19,130000,135000,130000,134500,▲5500,＋4.26%,128800,131050,159308,165192,6628,17762
2018/11/16,127500,133000,126500,129000,▲1000,＋0.78%,127800,131475,160083,165333,2192,17186
2018/11/15,124500,128500,122500,128000,▲3000,＋2.40%,128300,132600,161008,165550,5583,17297
2018/11/14,129000,130000,123500,125000,▼2500,－1.96%,129500,133800,161925,165754,4848,15989
2018/11/13,129500,129500,124000,127500,▼2000,－1.54%,130100,135225,162758,165971,3765,15972
2018/11/12,128500,132500,128500,129500,▼2000,－1.52%,131600,136075,163392,166158,2037,15515
2018/11/09,132500,133000,127500,131500,▼2500,－1.87%,133300,136775,164017,166546,5229,15493
2018/11/08,132000,135000,130000,134000,▲6000,＋4.69%,134500,137475,164458,166967,5350,15562
2018/11/07,136500,143000,127000,128000,▼7000,－5.19%,133000,137775,164883,167254,13301,14364
2018/11/06,139000,140000,130500,135000,▼3000,－2.17%,132600,139025,165375,167608,5160,12615
2018/11/05,137000,140000,133000,138000,▲500,＋0.36%,131200,140975,165775,167838,5134,13396
2018/11/02,128500,138000,128500,137500,▲11000,＋8.70%,127300,142800,166250,168104,6369,14132
2018/11/01,127500,134000,126500,126500,▲500,＋0.40%,125900,144825,166600,168479,6892,13188
2018/10/31,128000,130000,125000,126000,▼2000,－1.56%,128200,147100,167125,168800,3053,13342
2018/10/30,111000,129500,111000,128000,▲9500,＋8.02%,130200,149450,167600,169292,9834,13899
2018/10/29,127000,131500,118000,118500,▼12000,－9.20%,132600,151725,168150,169475,9775,12480
2018/10/26,138500,139000,127000,130500,▼7500,－5.43%,137500,154850,168808,169450,5987,11905
2018/10/25,132000,138500,130000,138000,▲2000,＋1.47%,141700,157800,169242,169342,6921,11913
2018/10/24,140500,144000,136000,136000,▼4000,－2.86%,144500,160200,169442,169154,4622,11142
2018/10/23,142500,145500,140000,140000,▼3000,－2.10%,148000,162775,169683,169063,4947,11282
2018/10/22,147500,147500,140500,143000,▼8500,－5.61%,148900,165175,169575,168988,5951,10789
2018/10/19,152000,153500,148500,151500,▼500,－0.33%,149000,167950,169525,168638,4605,10729
2018/10/18,150500,157000,150500,152000,▼1500,－0.98%,147800,170850,169333,168275,4771,10503
2018/10/17,146000,156500,146000,153500,▲9000,＋6.23%,145400,173875,169208,167803,7970,10647
2018/10/16,144000,149000,144000,144500,▲1000,＋0.70%,145300,177000,169108,167319,3913,9684
2018/10/15,147000,151500,141500,143500,▼2000,－1.37%,151200,179250,169233,166912,10121,9079
2018/10/12,139000,146500,138000,145500,▲5500,＋3.93%,157400,181600,169400,166520,9293,8984
2018/10/11,139000,148500,137000,140000,▼13000,－8.50%,163900,183850,169458,166111,17993,8147
2018/10/10,171000,172500,153000,153000,▼21000,－12.07%,170300,185850,169667,165748,20902,3635
2018/10/08,172000,179500,172000,174000,▼500,－0.29%,174300,186675,169450,165287,5405,4236
2018/10/05,177000,177000,171500,174500,▼3500,－1.97%,174200,186625,168883,164643,4703,3617
