[일시]한국전자홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,815,821,807,819,▲4,＋0.49%,823,836,815,838,70374,1163345
2019/01/29,825,829,805,815,▼10,－1.21%,829,836,814,838,156384,1156402
2019/01/28,818,826,812,825,▲2,＋0.24%,834,835,812,838,103720,1146730
2019/01/25,831,838,817,823,▼8,－0.96%,842,835,810,838,109943,1149094
2019/01/24,845,850,828,831,▼19,－2.24%,847,834,809,838,280853,1144904
2019/01/23,845,851,839,850,▲8,＋0.95%,849,835,807,838,31568,1156046
2019/01/22,854,868,841,842,▼20,－2.32%,848,834,806,838,64395,1155798
2019/01/21,849,890,840,862,▲10,＋1.17%,849,835,806,837,206880,1155033
2019/01/18,833,855,833,852,▲12,＋1.43%,846,836,805,837,95688,1149002
2019/01/17,842,858,831,840,▼2,－0.24%,843,837,804,837,59587,1149530
2019/01/16,841,862,837,842,▼8,－0.94%,845,836,804,837,34795,1149353
2019/01/15,843,865,839,850,▲5,＋0.59%,845,836,804,836,104209,1149912
2019/01/14,838,865,812,845,▲7,＋0.84%,842,835,804,836,102511,1152488
2019/01/11,849,855,832,838,▼11,－1.30%,841,834,804,836,40424,1150477
2019/01/10,844,853,824,849,▲5,＋0.59%,833,832,803,836,67603,1148711
2019/01/09,845,861,835,844,▲8,＋0.96%,826,829,803,836,114711,1157046
2019/01/08,833,855,829,836,▼1,－0.12%,821,827,802,836,62053,1153764
2019/01/07,802,846,802,837,▲36,＋4.49%,816,825,801,836,124672,1150864
2019/01/04,784,813,784,801,▼13,－1.60%,811,824,801,836,94549,1146636
2019/01/03,817,828,804,814,▼4,－0.49%,812,824,802,836,113504,1143375
2019/01/02,815,833,802,818,▲8,＋0.99%,819,824,803,836,51172,1142237
2018/12/28,823,823,800,810,0.0,0.00%,824,823,803,836,35005,1136619
2018/12/27,812,834,775,810,▲1,＋0.12%,833,822,804,836,91291,1130186
