[일시]한국제지,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,18850,19050,18650,18950,▲100,＋0.53%,19040,17840,16958,18552,6342,244230
2019/01/29,18800,19000,18600,18850,▼150,－0.79%,18960,17718,16916,18575,7946,244477
2019/01/28,19300,19300,18850,19000,▼200,－1.04%,18950,17590,16866,18597,13634,244371
2019/01/25,19400,19700,19050,19200,0.0,0.00%,18860,17453,16808,18617,11090,244938
2019/01/24,18800,19450,18600,19200,▲650,＋3.50%,18690,17290,16748,18636,18984,246586
2019/01/23,19000,19000,18400,18550,▼250,－1.33%,18450,17165,16694,18655,9640,247026
2019/01/22,18700,19050,18400,18800,▲250,＋1.35%,18400,17068,16663,18677,15875,245992
2019/01/21,18200,18750,18200,18550,▲200,＋1.09%,18270,16960,16626,18693,11921,246865
2019/01/18,18000,18350,17950,18350,▲350,＋1.94%,18200,16888,16603,18713,17297,246384
2019/01/17,18300,18500,17900,18000,▼300,－1.64%,17950,16820,16588,18734,10628,245279
2019/01/16,18250,18750,18100,18300,▲150,＋0.83%,17610,16770,16585,18761,46506,247140
2019/01/15,18000,18250,17950,18150,▼50,－0.27%,17220,16685,16578,18786,14083,247818
2019/01/14,17100,18300,17050,18200,▲1100,＋6.43%,16850,16595,16577,18811,69707,247852
2019/01/11,16300,17300,16300,17100,▲800,＋4.91%,16470,16495,16580,18837,24269,252585
2019/01/10,16500,16500,16100,16300,▼50,－0.31%,16280,16448,16598,18873,10749,252040
2019/01/09,16200,16450,16150,16350,▲50,＋0.31%,16260,16470,16631,18916,6892,252193
2019/01/08,16300,16550,16050,16300,0.0,0.00%,16290,16503,16667,18960,13365,252814
2019/01/07,16100,16350,16100,16300,▲150,＋0.93%,16290,16533,16711,19005,4653,253476
2019/01/04,16200,16350,16000,16150,▼50,－0.31%,16280,16583,16773,19052,3806,251781
2019/01/03,16500,16600,16200,16200,▼300,－1.82%,16240,16635,16843,19101,4536,251856
2019/01/02,16350,16650,16200,16500,▲200,＋1.23%,16340,16688,16917,19148,4244,252397
2018/12/28,16200,16450,16000,16300,▲50,＋0.31%,16360,16708,16987,19194,3033,252558
2018/12/27,16000,16300,15900,16250,▲300,＋1.88%,16430,16725,17062,19251,7453,252221
2018/12/26,16700,16700,15950,15950,▼750,－4.49%,16600,16745,17138,19310,14572,252219
2018/12/24,16800,16850,16450,16700,▲100,＋0.60%,16810,16775,17218,19370,9230,253433
2018/12/21,16650,16650,16400,16600,▼50,－0.30%,16870,16768,17286,19429,5930,252973
2018/12/20,17100,17100,16650,16650,▼450,－2.63%,16870,16760,17357,19485,3991,253247
2018/12/19,16950,17250,16850,17100,▲100,＋0.59%,16810,16760,17424,19545,5288,253641
2018/12/18,17100,17100,16750,17000,0.0,0.00%,16630,16745,17488,19604,4312,254002
2018/12/17,16600,17050,16600,17000,▲400,＋2.41%,16460,16730,17563,19662,7638,254414
2018/12/14,16200,17000,16100,16600,▲250,＋1.53%,16410,16715,17638,19720,13458,254978
2018/12/13,16300,16500,16200,16350,▲150,＋0.93%,16490,16698,17721,19785,2274,256702
2018/12/12,16150,16400,16150,16200,▲50,＋0.31%,16600,16688,17798,19854,3236,256496
2018/12/11,16500,16650,16150,16150,▼600,－3.58%,16820,16688,17875,19917,8287,252245
2018/12/10,17000,17000,16450,16750,▼250,－1.47%,17030,16675,17957,19981,3584,252251
2018/12/07,16850,17250,16350,17000,▲100,＋0.59%,17130,16628,18027,20041,5810,252397
2018/12/06,17300,17350,16800,16900,▼400,－2.31%,17110,16580,18093,20100,11134,252366
2018/12/05,16950,17350,16750,17300,▲100,＋0.58%,17060,16545,18168,20167,3496,253072
2018/12/04,17300,17300,17000,17200,▼50,－0.29%,16930,16475,18226,20227,2959,253209
2018/12/03,17100,17250,16800,17250,▲350,＋2.07%,16800,16410,18283,20285,5276,253391
2018/11/30,16650,17300,16500,16900,▲250,＋1.50%,16660,16348,18346,20346,5003,253626
2018/11/29,16700,16850,16650,16650,0.0,0.00%,16570,16323,18414,20413,3977,254126
2018/11/28,16600,16700,16200,16650,▲100,＋0.60%,16570,16283,18488,20478,4576,254395
2018/11/27,16550,16600,16400,16550,0.0,0.00%,16600,16225,18561,20546,3505,255033
2018/11/26,16200,16550,16200,16550,▲100,＋0.61%,16630,16180,18633,20617,7835,255215
2018/11/23,16650,16950,16400,16450,▼200,－1.20%,16660,16150,18704,20681,5202,254815
2018/11/22,16850,17150,16600,16650,▼150,－0.89%,16620,16160,18785,20740,5875,255690
2018/11/21,16400,16950,16400,16800,▲100,＋0.60%,16520,16158,18863,20803,5564,256786
2018/11/20,16650,16800,16300,16700,0.0,0.00%,16400,16175,18940,20855,6046,257324
2018/11/19,16300,16750,16100,16700,▲450,＋2.77%,16240,16213,19018,20913,10968,257589
2018/11/16,16150,16300,16050,16250,▲100,＋0.62%,16060,16270,19094,20973,5376,257238
2018/11/15,16050,16300,15850,16150,▼50,－0.31%,16020,16350,19181,21036,8324,257473
2018/11/14,15700,16300,15700,16200,▲300,＋1.89%,16030,16448,19276,21105,10433,259980
2018/11/13,15800,15950,15500,15900,▲100,＋0.63%,15970,16558,19373,21175,11958,259897
2018/11/12,16100,16150,15800,15800,▼250,－1.56%,15970,16673,19483,21250,8638,264607
2018/11/09,16150,16200,15900,16050,▼150,－0.93%,16010,16795,19597,21345,5851,264975
2018/11/08,16050,16300,15950,16200,▲300,＋1.89%,16080,16918,19708,21436,13314,267726
2018/11/07,16000,16350,15400,15900,0.0,0.00%,16010,17055,19818,21515,14155,265904
2018/11/06,16000,16300,15700,15900,▼100,－0.63%,15930,17260,19928,21595,10683,266441
2018/11/05,16400,16400,15900,16000,▼400,－2.44%,15880,17485,20037,21671,6103,265721
2018/11/02,16000,16450,15900,16400,▲550,＋3.47%,15870,17715,20145,21749,21417,266679
2018/11/01,15550,16100,15300,15850,▲350,＋2.26%,15920,17930,20234,21821,17852,265300
2018/10/31,15750,15750,15200,15500,▼150,－0.96%,16070,18178,20328,21889,25259,263329
2018/10/30,15750,16000,15050,15650,▼300,－1.88%,16400,18445,20427,21961,61571,260741
2018/10/29,16650,16950,15650,15950,▼700,－4.20%,16760,18698,20523,22030,36633,256579
2018/10/26,16450,16900,16200,16650,▲50,＋0.30%,17140,18940,20617,22100,11669,256617
2018/10/25,17150,17150,16300,16600,▼550,－3.21%,17380,19150,20692,22163,23195,256283
2018/10/24,17550,17650,17150,17150,▼300,－1.72%,17680,19355,20760,22224,10599,254430
2018/10/23,17850,17950,17400,17450,▼400,－2.24%,17930,19543,20823,22276,17913,255433
