[일시]한국타이어월드와이드,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,16350,16350,15850,15950,▼250,－1.54%,16010,16075,16429,17150,107408,9325525
2019/01/29,16000,16250,15800,16200,▲100,＋0.62%,16020,16120,16442,17169,84562,9337481
2019/01/28,15950,16200,15800,16100,▲150,＋0.94%,15950,16140,16451,17190,66644,9337865
2019/01/25,15800,16150,15750,15950,▲100,＋0.63%,15870,16160,16464,17210,38216,9350131
2019/01/24,15900,16050,15700,15850,▼150,－0.94%,15910,16210,16482,17231,85424,9347070
2019/01/23,15800,16000,15750,16000,▲150,＋0.95%,15940,16278,16513,17254,56429,9375944
2019/01/22,15800,16000,15700,15850,▲150,＋0.96%,15870,16343,16543,17274,46355,9424938
2019/01/21,16200,16200,15650,15700,▼450,－2.79%,15810,16420,16574,17295,77540,9419001
2019/01/18,15850,16200,15850,16150,▲150,＋0.94%,15790,16513,16605,17318,107916,9417568
2019/01/17,15550,16050,15550,16000,▲350,＋2.24%,15760,16580,16617,17335,101708,9436524
2019/01/16,15600,15700,15450,15650,▲100,＋0.64%,15740,16633,16639,17352,74199,9398288
2019/01/15,15650,15800,15500,15550,▼50,－0.32%,15870,16700,16663,17368,134424,9377763
2019/01/14,15950,16150,15600,15600,▼400,－2.50%,16100,16753,16694,17387,54456,9389566
2019/01/11,15900,16150,15800,16000,▲100,＋0.63%,16300,16803,16725,17408,101004,9389659
2019/01/10,16300,16300,15800,15900,▼400,－2.45%,16450,16805,16745,17426,95855,9336810
2019/01/09,16500,16700,16300,16300,▼400,－2.40%,16610,16818,16768,17444,75966,9332102
2019/01/08,16600,16950,16500,16700,▲100,＋0.60%,16720,16830,16781,17458,45472,9312175
2019/01/07,17150,17150,16600,16600,▼150,－0.90%,16700,16835,16794,17468,50837,9309319
2019/01/04,17150,17150,16500,16750,▲50,＋0.30%,16680,16828,16819,17479,50386,9311447
2019/01/03,17050,17100,16650,16700,▼150,－0.89%,16720,16830,16842,17491,48811,9326197
2019/01/02,16600,17100,16550,16850,▲250,＋1.51%,16820,16848,16863,17502,43918,9318061
2018/12/28,16500,16850,16450,16600,▲100,＋0.61%,16910,16850,16880,17507,47231,9307466
2018/12/27,16600,17350,16250,16500,▼450,－2.65%,17070,16863,16903,17513,56052,9318366
2018/12/26,17150,17250,16950,16950,▼250,－1.45%,17280,16870,16923,17521,27070,9324859
2018/12/24,17200,17650,17000,17200,▼100,－0.58%,17390,16850,16940,17524,37967,9334106
2018/12/21,17800,17800,17250,17300,▼100,－0.57%,17360,16828,16953,17527,31050,9319437
2018/12/20,17700,17700,17150,17400,▼150,－0.85%,17300,16783,16967,17531,25917,9339527
2018/12/19,17500,17700,17150,17550,▲50,＋0.29%,17140,16728,16973,17534,54359,9364251
2018/12/18,17350,17500,17050,17500,▲450,＋2.64%,16950,16678,16980,17536,40035,9355420
2018/12/17,17200,17500,16950,17050,▲50,＋0.29%,16660,16635,16987,17540,44716,9358227
2018/12/14,16550,17100,16500,17000,▲400,＋2.41%,16480,16613,17001,17545,37896,9355751
2018/12/13,16450,16850,16200,16600,0.0,0.00%,16390,16593,17015,17549,77396,9350070
2018/12/12,16300,16650,16000,16600,▲550,＋3.43%,16430,16583,17030,17557,34971,9331978
2018/12/11,15900,16200,15850,16050,▼100,－0.62%,16400,16568,17043,17566,32370,9334223
2018/12/10,16000,16750,15850,16150,▼400,－2.42%,16550,16570,17063,17583,93923,9346478
2018/12/07,16850,17000,16400,16550,▼250,－1.49%,16730,16573,17083,17598,49489,9305744
2018/12/06,16600,16900,16450,16800,▲350,＋2.13%,16800,16535,17099,17610,54167,9312409
2018/12/05,16800,17050,16450,16450,▼350,－2.08%,16810,16483,17109,17623,51065,9316536
2018/12/04,17000,17150,16650,16800,▼250,－1.47%,16850,16430,17128,17637,48250,9315902
2018/12/03,17000,17200,16750,17050,▲150,＋0.89%,16800,16410,17141,17645,36044,9312614
2018/11/30,16850,16950,16650,16900,▲50,＋0.30%,16740,16365,17153,17650,48432,9321690
2018/11/29,16700,16850,16650,16850,▲200,＋1.20%,16640,16355,17174,17657,23652,9315521
2018/11/28,16700,16700,16300,16650,▲100,＋0.60%,16530,16350,17194,17667,26069,9308551
2018/11/27,16550,16650,16350,16550,▼200,－1.19%,16510,16363,17220,17680,29295,9306424
2018/11/26,16500,16750,16150,16750,▲350,＋2.13%,16530,16385,17248,17691,37410,9310632
2018/11/23,16250,16500,15800,16400,▲100,＋0.61%,16500,16433,17272,17704,58355,9298851
2018/11/22,16550,16600,16100,16300,▼250,－1.51%,16540,16505,17303,17718,26585,9325597
2018/11/21,16700,16700,16400,16550,▼100,－0.60%,16560,16575,17335,17735,34079,9331371
2018/11/20,16750,16850,16300,16650,▲50,＋0.30%,16510,16625,17369,17752,44544,9332263
2018/11/19,16400,16800,16400,16600,0.0,0.00%,16400,16635,17402,17767,35674,9323454
2018/11/16,16300,16750,16100,16600,▲200,＋1.22%,16320,16673,17437,17783,38140,9323804
2018/11/15,16100,16450,16000,16400,▲100,＋0.61%,16160,16698,17468,17799,27913,9322762
2018/11/14,15950,16300,15950,16300,▲200,＋1.24%,16030,16748,17503,17816,28960,9327635
2018/11/13,16150,16300,15800,16100,▼100,－0.62%,15850,16805,17543,17832,47381,9324032
2018/11/12,16000,16200,15900,16200,▲400,＋2.53%,15910,16860,17590,17850,33970,9331790
2018/11/09,15750,16150,15750,15800,▲50,＋0.32%,15900,16913,17634,17867,61897,9334176
