[일시]한독,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,26050,26450,26000,26100,▲200,＋0.77%,26150,26905,27387,26601,44788,1263590
2019/01/29,26600,26600,25800,25900,▼700,－2.63%,26100,27213,27385,26596,48243,1262911
2019/01/28,26100,26750,26050,26600,▲550,＋2.11%,26050,27453,27362,26595,50822,1268578
2019/01/25,26300,26300,25950,26050,▼50,－0.19%,25820,27640,27301,26585,32320,1266664
2019/01/24,26100,26150,25800,26100,▲250,＋0.97%,25840,27823,27232,26572,22913,1276619
2019/01/23,25400,26050,25400,25850,▲200,＋0.78%,25970,28035,27147,26561,28933,1279600
2019/01/22,25250,26000,25250,25650,▲200,＋0.79%,26210,28285,27072,26553,38022,1285870
2019/01/21,26250,26250,25400,25450,▼700,－2.68%,26590,28510,27012,26538,85157,1280894
2019/01/18,26500,26850,26000,26150,▼600,－2.24%,26880,28760,26960,26533,89757,1279186
2019/01/17,27100,27450,26500,26750,▼300,－1.11%,27150,28968,26908,26523,54529,1278189
2019/01/16,27950,27950,26900,27050,▼500,－1.81%,27370,29155,26862,26513,50600,1279642
2019/01/15,27000,28000,27000,27550,▲650,＋2.42%,27660,29190,26810,26501,85882,1282403
2019/01/14,27500,27500,26700,26900,▼600,－2.18%,27850,29205,26740,26488,69794,1283181
2019/01/11,28200,28200,27200,27500,▼350,－1.26%,27950,29273,26687,26481,75251,1277068
2019/01/10,28400,28800,27800,27850,▼650,－2.28%,28050,29283,26627,26472,73003,1276599
2019/01/09,29000,30000,28100,28500,0.0,0.00%,28130,29298,26553,26461,129859,1280394
2019/01/08,28200,30850,26950,28500,▲1100,＋4.01%,28880,29280,26473,26443,316946,1264170
2019/01/07,28600,28600,26950,27400,▼600,－2.14%,29320,29285,26382,26423,138098,1283696
2019/01/04,28150,28950,27400,28000,▼250,－0.88%,29910,29350,26333,26419,151657,1296057
2019/01/03,32200,32200,27850,28250,▼4000,－12.40%,30250,29368,26273,26408,320154,1278356
2019/01/02,31100,32800,31000,32250,▲1550,＋5.05%,30670,29363,26215,26394,293771,1337080
2018/12/28,30500,31150,30300,30700,▲350,＋1.15%,30390,29130,26111,26348,71172,1332385
2018/12/27,30900,30900,29500,30350,▲650,＋2.19%,30280,28985,26036,26317,90928,1337461
2018/12/26,29800,30300,29150,29700,▼650,－2.14%,30300,28883,25997,26282,63479,1345189
2018/12/24,31200,31250,29950,30350,▼500,－1.62%,30420,28818,25994,26254,91183,1352907
2018/12/21,30150,31200,29750,30850,▲700,＋2.32%,30450,28600,25998,26230,87478,1369403
2018/12/20,30500,30650,29750,30150,▼300,－0.99%,29830,28340,25987,26199,62512,1357356
2018/12/19,30200,30650,29150,30450,▲150,＋0.50%,29370,28100,25956,26180,112978,1372894
2018/12/18,30200,30650,29800,30300,▼200,－0.66%,28930,27868,25908,26155,106136,1380149
2018/12/17,27700,30550,27650,30500,▲2750,＋9.91%,28410,27628,25863,26136,335055,1397336
2018/12/14,27850,28150,27550,27750,▼100,－0.36%,27940,27390,25813,26112,24186,1328159
2018/12/13,28700,28700,27850,27850,▼400,－1.42%,28020,27270,25811,26108,17063,1330536
2018/12/12,27450,28450,27450,28250,▲550,＋1.99%,28170,27125,25804,26106,24086,1330490
2018/12/11,28600,28600,27050,27700,▼450,－1.60%,28260,26950,25787,26092,29376,1333158
2018/12/10,27600,28200,27500,28150,0.0,0.00%,28390,26808,25782,26100,27706,1340783
2018/12/07,28600,28900,28100,28150,▼450,－1.57%,28390,26620,25768,26117,11396,1337502
2018/12/06,28900,28900,28250,28600,▼100,－0.35%,28280,26455,25765,26136,40526,1337912
2018/12/05,27800,29000,27700,28700,▲350,＋1.23%,28120,26290,25765,26158,95734,1346951
2018/12/04,28300,28500,27600,28350,▲200,＋0.71%,28040,26130,25770,26172,51189,1329775
2018/12/03,27500,28450,27500,28150,▲550,＋1.99%,28050,26013,25770,26193,40215,1324451
2018/11/30,27800,28100,27400,27600,▼200,－0.72%,27620,25893,25778,26215,43159,1322191
2018/11/29,28300,28450,27600,27800,▼500,－1.77%,27230,25813,25796,26235,39399,1324160
2018/11/28,28600,28600,27700,28300,▼100,－0.35%,26740,25648,25798,26275,61164,1323735
2018/11/27,26050,28400,26050,28400,▲2400,＋9.23%,26240,25380,25777,26317,187933,1324499
2018/11/26,25950,26200,25650,26000,▲350,＋1.36%,25660,25055,25758,26358,39719,1303124
2018/11/23,25500,25800,25150,25650,▲300,＋1.18%,25610,24805,25783,26415,19117,1294206
2018/11/22,25900,25900,25050,25350,▼450,－1.74%,25550,24590,25795,26479,33201,1289049
2018/11/21,25250,25950,24700,25800,▲300,＋1.18%,25470,24425,25793,26536,30584,1294170
2018/11/20,25350,25750,25250,25500,▼250,－0.97%,25260,24253,25788,26586,30374,1281240
2018/11/19,25750,25850,25150,25750,▲400,＋1.58%,25130,24128,25798,26632,32590,1272530
2018/11/16,25000,25850,25000,25350,▲400,＋1.60%,24860,24040,25779,26673,33516,1261679
2018/11/15,25100,25100,24400,24950,▲200,＋0.81%,24760,23970,25771,26729,29608,1256205
2018/11/14,24150,25350,24150,24750,▼100,－0.40%,24830,23890,25758,26783,26709,1249342
2018/11/13,23700,24850,23700,24850,▲450,＋1.84%,24980,23838,25754,26837,27269,1248701
2018/11/12,24800,25200,24200,24400,▼450,－1.81%,25210,23790,25751,26892,21564,1239148
2018/11/09,25700,25700,24450,24850,▼450,－1.78%,25480,23743,25778,26952,29775,1238143
2018/11/08,26000,26000,25000,25300,▼200,－0.78%,25710,23685,25798,27009,56516,1232982
2018/11/07,26600,27850,24600,25500,▼500,－1.92%,25550,23570,25807,27061,107363,1221038
2018/11/06,25800,26350,25450,26000,▲250,＋0.97%,25040,23520,25815,27108,35572,1204847
2018/11/05,26000,26700,25500,25750,▼250,－0.96%,24220,23438,25813,27153,37206,1205168
2018/11/02,24500,26250,24500,26000,▲1500,＋6.12%,23270,23390,25815,27196,109635,1200985
2018/11/01,23050,25250,23050,24500,▲1550,＋6.75%,22340,23390,25807,27247,124886,1193747
2018/10/31,22000,24150,21600,22950,▲1050,＋4.79%,21850,23475,25828,27323,113736,1183943
2018/10/30,20500,22000,20450,21900,▲900,＋4.29%,21730,23728,25869,27401,53433,1211512
2018/10/29,21500,22200,21000,21000,▼350,－1.64%,21950,24110,25913,27493,45056,1211388
2018/10/26,22200,22300,21150,21350,▼700,－3.17%,22550,24588,25976,27604,48393,1207573
2018/10/25,21250,22150,21250,22050,▼300,－1.34%,23070,25030,26033,27718,89603,1214639
2018/10/24,23050,23350,22250,22350,▼650,－2.83%,23330,25343,26065,27816,77080,1216309
2018/10/23,23800,23800,23000,23000,▼1000,－4.17%,23600,25605,26106,27905,88864,1223677
2018/10/22,24000,24050,23600,24000,▲50,＋0.21%,23780,25833,26139,27986,32776,1269913
2018/10/19,23000,24150,22850,23950,▲600,＋2.57%,23670,26008,26163,28067,37628,1274364
2018/10/18,23500,23950,23100,23350,▼350,－1.48%,23620,26193,26193,28143,53021,1276697
2018/10/17,24050,24400,23500,23700,▼200,－0.84%,23550,26398,26236,28241,29706,1294158
2018/10/16,23800,24200,23550,23900,▲450,＋1.92%,23710,26573,26275,28344,34831,1302537
2018/10/15,23400,23950,23150,23450,▼250,－1.05%,23800,26748,26317,28460,41413,1307761
2018/10/12,23050,23700,23000,23700,▲700,＋3.04%,24070,26943,26369,28583,63142,1306777
2018/10/11,23550,24100,22900,23000,▼1500,－6.12%,24530,27155,26413,28688,130023,1304878
2018/10/10,24350,24700,24150,24500,▲150,＋0.62%,25170,27435,26464,28817,50877,1329240
2018/10/08,24800,25350,24250,24350,▼450,－1.81%,25870,27660,26504,28925,107228,1333623
2018/10/05,25600,25850,24150,24800,▼1200,－4.62%,26910,27860,26544,29035,203559,1327955
2018/10/04,26400,26850,25200,26000,▼200,－0.76%,28060,28053,26573,29147,104911,1370126
2018/10/02,28050,28100,26100,26200,▼1800,－6.43%,28900,28185,26584,29253,130003,1368256
2018/10/01,29550,29950,27800,28000,▼1550,－5.25%,29320,28273,26598,29358,86758,1385115
2018/09/28,30800,30800,29300,29550,▼1000,－3.27%,29240,28223,26568,29431,61150,1395896
2018/09/27,30500,30800,29850,30550,▲350,＋1.16%,28840,28110,26514,29493,74825,1402863
2018/09/21,28450,30200,28350,30200,▲1900,＋6.71%,28230,27958,26463,29554,134928,1416870
2018/09/20,27450,30100,27400,28300,▲700,＋2.54%,27720,27765,26412,29606,229764,1384725
2018/09/19,27450,28200,27450,27600,▲50,＋0.18%,27550,27610,26403,29673,38490,1384631
2018/09/18,27400,27650,27150,27550,▲50,＋0.18%,27470,27505,26402,29754,30444,1395380
2018/09/17,27800,27850,27300,27500,▼150,－0.54%,27440,27433,26409,29835,21874,1396894
2018/09/14,27550,28050,27100,27650,▲200,＋0.73%,27410,27290,26411,29915,42309,1401212
2018/09/13,27600,27700,27350,27450,▲250,＋0.92%,27470,27150,26404,30014,20777,1399329
2018/09/12,27350,28100,27100,27200,▼200,－0.73%,27700,26985,26408,30119,48383,1403368
2018/09/11,27350,27900,27100,27400,▲50,＋0.18%,28060,26853,26397,30226,30384,1421719
2018/09/10,28300,28300,27300,27350,▼600,－2.15%,28250,26715,26418,30341,38796,1422727
2018/09/07,28500,28750,27650,27950,▼650,－2.27%,28510,26650,26465,30457,41306,1429897
2018/09/06,29050,29050,27950,28600,▼400,－1.38%,28650,26553,26508,30563,62708,1438929
2018/09/05,28450,29450,28400,29000,▲650,＋2.29%,28520,26415,26552,30651,113467,1466082
2018/09/04,28650,28850,28200,28350,▼300,－1.05%,28120,26265,26573,30710,39980,1486765
2018/09/03,28750,29100,28050,28650,0.0,0.00%,27910,26140,26617,30781,71631,1494095
2018/08/31,28050,28950,27250,28650,▲700,＋2.50%,27680,26003,26652,30844,111004,1511200
2018/08/30,27400,28700,26800,27950,▲950,＋3.52%,27220,25845,26675,30903,94915,1523992
2018/08/29,27350,27700,26800,27000,▼300,－1.10%,26670,25738,26751,30958,30040,1533880
2018/08/28,27750,28200,27150,27300,▼200,－0.73%,26370,25658,26858,31023,82747,1536516
2018/08/27,26550,27800,26400,27500,▲1150,＋4.36%,26130,25518,26957,31082,176279,1545040
2018/08/24,25100,26450,25000,26350,▲1150,＋4.56%,25560,25383,27047,31143,104438,1547684
2018/08/23,25500,25600,24800,25200,▼300,－1.18%,25260,25305,27163,31211,84739,1543102
2018/08/22,26200,26500,25050,25500,▼600,－2.30%,25050,25243,27280,31303,104397,1560893
2018/08/21,24700,26200,24650,26100,▲1450,＋5.88%,24860,25208,27384,31395,156864,1563733
2018/08/20,24900,25300,24450,24650,▼200,－0.80%,24570,25153,27467,31489,53233,1572750
2018/08/17,24150,24900,24150,24850,▲700,＋2.90%,24850,25193,27568,31593,41565,1584697
2018/08/16,24500,24500,23800,24150,▼400,－1.63%,25080,25235,27687,31693,40762,1569866
2018/08/14,24500,24950,24400,24550,▼100,－0.41%,25420,25325,27808,31795,34971,1567126
2018/08/13,25900,25900,24600,24650,▼1400,－5.37%,25710,25400,27919,31892,71755,1570171
2018/08/10,25750,26300,25700,26050,▲50,＋0.19%,25950,25488,28033,31963,13767,1578939
2018/08/09,25850,26100,25550,26000,▲150,＋0.58%,25920,25515,28126,32018,13188,1578540
2018/08/08,26000,26050,25600,25850,▼150,－0.58%,25820,25530,28220,32076,22911,1579246
2018/08/07,25850,26100,25350,26000,▲150,＋0.58%,25810,25543,28315,32133,41942,1585650
2018/08/06,26250,26350,25800,25850,▼50,－0.19%,25690,25588,28400,32194,39536,1589990
2018/08/03,25450,25900,25400,25900,▲400,＋1.57%,25420,25633,28493,32243,23586,1590117
2018/08/02,25650,25850,25300,25500,▼300,－1.16%,25200,25663,28578,32301,23339,1596212
2018/08/01,26850,27300,25600,25800,▲400,＋1.57%,25060,25723,28688,32372,161373,1597864
2018/07/31,24500,25400,24500,25400,▲900,＋3.67%,24690,25783,28817,32458,49842,1636501
2018/07/30,24450,24800,24200,24500,▼300,－1.21%,24570,25823,28933,32543,24618,1624126
2018/07/27,24800,24950,24300,24800,0.0,0.00%,24670,25915,29073,32658,28482,1624935
2018/07/26,24200,25100,23900,24800,▲850,＋3.55%,24800,26050,29233,32778,83345,1634683
2018/07/25,24800,24950,23700,23950,▼850,－3.43%,24980,26165,29403,32898,116466,1601017
2018/07/24,24850,25350,24450,24800,▼200,－0.80%,25380,26358,29567,33010,44747,1612322
2018/07/23,25450,25700,24800,25000,▼450,－1.77%,25630,26493,29705,33114,32835,1616045
2018/07/20,25650,25850,25100,25450,▼250,－0.97%,25910,26643,29833,33205,34891,1621062
2018/07/19,25900,26100,24850,25700,▼250,－0.96%,26140,26750,29971,33289,50459,1618905
2018/07/18,26100,26750,25750,25950,▼100,－0.38%,26260,26828,30093,33375,32436,1635708
2018/07/17,26350,26400,26000,26050,▼350,－1.33%,26290,26913,30246,33461,24435,1638029
2018/07/16,26750,26950,26100,26400,▼200,－0.75%,26460,26938,30413,33570,17758,1633801
2018/07/13,26250,26750,26050,26600,▲300,＋1.14%,26530,27053,30603,33669,20101,1630300
2018/07/12,26250,26400,26000,26300,▲200,＋0.77%,26510,27230,30796,33784,24960,1626189
2018/07/11,26700,26700,25900,26100,▼800,－2.97%,26590,27440,30963,33909,30822,1616605
2018/07/10,26850,27600,26500,26900,▲150,＋0.56%,26770,27698,31170,34010,56259,1627638
2018/07/09,26300,27200,26300,26750,▲250,＋0.94%,26630,27868,31347,34090,20517,1615942
2018/07/06,26700,27000,25600,26500,▼200,－0.75%,26550,28078,31526,34160,37462,1610594
2018/07/05,26550,27000,25800,26700,▼300,－1.11%,26750,28290,31722,34235,25941,1609002
