[일시]한솔홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,4790,5200,4790,4970,▲200,＋4.19%,4800,4734,4826,4871,386233,4928785
2019/01/29,4720,4790,4720,4770,0.0,0.00%,4752,4735,4816,4869,29730,4945966
2019/01/28,4790,4790,4740,4770,▲30,＋0.63%,4744,4747,4807,4870,51839,4942245
2019/01/25,4770,4770,4720,4740,▼10,－0.21%,4737,4753,4796,4869,50805,4938236
2019/01/24,4730,4775,4690,4750,▲20,＋0.42%,4732,4761,4784,4870,29311,4943837
2019/01/23,4755,4755,4710,4730,0.0,0.00%,4715,4772,4771,4871,32855,4948702
2019/01/22,4730,4795,4705,4730,▼5,－0.11%,4693,4789,4763,4872,27927,4940691
2019/01/21,4710,4755,4680,4735,▲20,＋0.42%,4671,4804,4756,4873,25157,4935626
2019/01/18,4665,4725,4655,4715,▲50,＋1.07%,4632,4816,4753,4874,41054,4934221
2019/01/17,4620,4695,4620,4665,▲45,＋0.97%,4646,4821,4751,4875,64069,4917216
2019/01/16,4620,4670,4605,4620,0.0,0.00%,4671,4834,4749,4877,51572,4897323
2019/01/15,4505,4630,4500,4620,▲80,＋1.76%,4694,4848,4748,4879,93230,4873403
2019/01/14,4835,4835,4505,4540,▼245,－5.12%,4715,4865,4747,4881,299846,4849229
2019/01/11,4750,4850,4745,4785,▼5,－0.10%,4754,4885,4751,4884,27901,4890539
2019/01/10,4740,4790,4725,4790,▲55,＋1.16%,4733,4893,4746,4885,27169,4894906
2019/01/09,4730,4780,4720,4735,▲10,＋0.21%,4749,4896,4741,4884,26698,4885728
2019/01/08,4845,4845,4715,4725,▼10,－0.21%,4801,4913,4737,4883,20573,4880899
2019/01/07,4720,4780,4715,4735,▲55,＋1.18%,4856,4931,4732,4882,29937,4883250
2019/01/04,4850,4850,4650,4680,▼190,－3.90%,4889,4955,4731,4880,130526,4884081
2019/01/03,4950,4995,4850,4870,▼125,－2.50%,4931,4986,4732,4878,36314,4946359
2019/01/02,5000,5040,4930,4995,▼5,－0.10%,4953,5006,4731,4874,28333,4956548
2018/12/28,4835,5000,4835,5000,▲100,＋2.04%,4966,5017,4728,4868,32908,4958389
2018/12/27,4900,4930,4855,4900,▲10,＋0.20%,4974,5024,4725,4863,23185,4954258
2018/12/26,4950,4950,4825,4890,▼90,－1.81%,4990,5040,4726,4858,63537,4957524
2018/12/24,5060,5090,4970,4980,▼80,－1.58%,4975,5062,4729,4854,26900,4988245
2018/12/21,5040,5080,4995,5060,▲20,＋0.40%,4961,5071,4729,4850,49555,4995013
2018/12/20,4980,5160,4900,5040,▲60,＋1.20%,4930,5079,4729,4845,62460,5092025
2018/12/19,4830,5000,4810,4980,▲165,＋3.43%,4914,5087,4730,4841,35192,5091557
2018/12/18,4875,4905,4805,4815,▼95,－1.93%,4906,5092,4735,4838,47996,5087976
2018/12/17,4865,4945,4855,4910,▲5,＋0.10%,4931,5108,4748,4837,24082,5107603
2018/12/14,4940,4960,4850,4905,▼55,－1.11%,4919,5105,4758,4834,41669,5108217
2018/12/13,4945,4990,4900,4960,▲20,＋0.40%,4954,5101,4772,4832,35572,5111382
2018/12/12,4940,5000,4900,4940,0.0,0.00%,4978,5071,4780,4829,27308,5122379
2018/12/11,4860,4955,4855,4940,▲90,＋1.86%,5036,5038,4787,4826,45061,5121990
2018/12/10,5060,5060,4850,4850,▼230,－4.53%,5108,5003,4794,4824,79182,5124473
2018/12/07,5130,5150,5060,5080,0.0,0.00%,5192,4971,4804,4824,58519,5133945
2018/12/06,5160,5230,5020,5080,▼150,－2.87%,5216,4927,4807,4823,75348,5112763
2018/12/05,5230,5290,5000,5230,▼70,－1.32%,5228,4884,4809,4822,58837,5105111
2018/12/04,5270,5300,5200,5300,▲30,＋0.57%,5228,4834,4807,4820,74597,5082725
2018/12/03,5270,5290,5210,5270,▲70,＋1.35%,5232,4785,4805,4817,86287,5060805
2018/11/30,5170,5210,5100,5200,▲60,＋1.17%,5212,4739,4804,4814,47458,5056889
2018/11/29,5230,5270,5140,5140,▼90,－1.72%,5214,4696,4803,4812,60158,5055232
2018/11/28,5280,5330,5170,5230,▼90,－1.69%,5226,4650,4803,4811,71119,5033367
2018/11/27,5170,5320,5170,5320,▲150,＋2.90%,5198,4596,4803,4809,77262,5023646
2018/11/26,5140,5460,5100,5170,▼40,－0.77%,5160,4531,4802,4806,102490,4997457
2018/11/23,5230,5290,5150,5210,▲10,＋0.19%,5097,4471,4804,4803,76648,4999443
