[일시]한일홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,57400,59800,56900,58200,▲1300,＋2.28%,57700,57960,57226,64451,6296,505307
2019/01/29,58900,59300,56700,56900,▼2000,－3.40%,57520,57785,57091,64717,5934,505015
2019/01/28,57300,58900,57300,58900,▲900,＋1.55%,57440,57545,56958,64993,4749,507737
2019/01/25,56000,58500,55800,58000,▲1500,＋2.65%,57160,57255,56747,65253,6547,508285
2019/01/24,56400,58100,56400,56500,▼800,－1.40%,57240,56930,56563,65521,6417,507203
2019/01/23,57300,57800,56700,57300,▲800,＋1.42%,57800,56735,56418,65801,3883,506340
2019/01/22,57000,58600,56100,56500,▼1000,－1.74%,58140,56490,56318,66074,4328,506321
2019/01/21,58400,59400,57400,57500,▼900,－1.54%,58640,56370,56240,66354,3853,505097
2019/01/18,61400,61400,58100,58400,▼900,－1.52%,59020,56240,56118,66626,5411,503811
2019/01/17,59100,60600,58800,59300,▲300,＋0.51%,58920,56125,55980,66890,4242,503434
2019/01/16,61500,61500,58900,59000,0.0,0.00%,58740,55950,55875,67147,7764,503050
2019/01/15,59600,62000,59000,59000,▼400,－0.67%,58840,55780,55792,67406,9924,502482
2019/01/14,57300,60500,57300,59400,▲1500,＋2.59%,58880,55790,55702,67665,5404,499838
2019/01/11,57500,60000,56900,57900,▼500,－0.86%,58700,55560,55617,67921,4182,500986
2019/01/10,59200,61200,58400,58400,▼1100,－1.85%,58380,55395,55560,68190,3189,500432
2019/01/09,58100,61600,58100,59500,▲300,＋0.51%,57600,55255,55520,68454,6319,500806
2019/01/08,58700,60100,57200,59200,▲700,＋1.20%,56640,55075,55473,68709,8153,498278
2019/01/07,58000,59000,56400,58500,▲2200,＋3.91%,55220,55055,55515,68966,7522,498303
2019/01/04,54300,57000,53200,56300,▲1800,＋3.30%,54140,55055,55572,69230,8583,498359
2019/01/03,55500,56000,53200,54500,▼200,－0.37%,53180,55250,55743,69511,5211,499273
2019/01/02,52100,54700,51900,54700,▲2600,＋4.99%,52800,55660,55963,69808,6890,508127
2018/12/28,54300,54300,51900,52100,▼1000,－1.88%,52340,55990,56217,70103,7795,506637
2018/12/27,50600,54300,50600,53100,▲1600,＋3.11%,52740,56445,56515,70420,8366,509385
2018/12/26,53400,53400,50400,51500,▼1100,－2.09%,53100,56785,56803,70728,17587,507443
2018/12/24,51900,53000,51700,52600,▲200,＋0.38%,54020,57300,57153,71050,4982,509386
2018/12/21,54800,54800,52000,52400,▼1700,－3.14%,54660,57875,57517,71362,11726,510566
2018/12/20,57100,57200,53800,54100,▼800,－1.46%,55300,58285,57810,71677,13719,511042
2018/12/19,56100,57800,54600,54900,▼1200,－2.14%,56320,58605,58085,71977,7466,512396
2018/12/18,55700,56800,53900,56100,▲300,＋0.54%,56300,59000,58385,72278,24757,513323
2018/12/17,55700,56500,54200,55800,▲200,＋0.36%,56000,59155,58725,72608,10536,516021
2018/12/14,59100,59200,55100,55600,▼3600,－6.08%,55960,59490,59098,72928,16641,516282
2018/12/13,54200,61600,54200,59200,▲4400,＋8.03%,56020,59785,59510,73242,45567,520806
2018/12/12,53700,56700,53700,54800,▲200,＋0.37%,55940,59980,59872,73578,8993,501705
2018/12/11,54600,55800,54000,54600,▼1000,－1.80%,56680,60475,60273,73932,12086,501908
2018/12/10,55800,55800,54400,55600,▼300,－0.54%,57800,60865,60672,74322,7276,507716
2018/12/07,58800,58800,55700,55900,▼2900,－4.93%,59220,60488,61042,74667,12761,506635
2018/12/06,59800,59800,57300,58800,▲300,＋0.51%,60300,60193,61440,75007,8170,509153
2018/12/05,60200,61500,58100,58500,▼1700,－2.82%,60780,59738,61782,75357,411896,510787
2018/12/04,62700,63700,60100,60200,▼2500,－3.99%,61060,59158,62147,75754,12751,513082
2018/12/03,61600,63900,60400,62700,▲1400,＋2.28%,61380,58658,62493,76118,7620,518325
2018/11/30,61600,62400,59600,61300,▲100,＋0.16%,61660,58058,62758,76446,9544,519411
2018/11/29,60400,62500,60300,61200,▲1300,＋2.17%,61520,57498,63062,76825,10200,520578
2018/11/28,61800,62800,59600,59900,▼1900,－3.07%,61380,56883,63342,77212,12289,511565
2018/11/27,63600,64000,61800,61800,▼2300,－3.59%,61960,56200,63667,77621,8680,516334
2018/11/26,59500,67500,59500,64100,▲3500,＋5.78%,61440,55458,63982,77998,17331,520682
2018/11/23,60300,61600,59300,60600,▲100,＋0.17%,61120,54645,64227,78385,5369,521166
2018/11/22,62800,62800,60000,60500,▼2300,－3.66%,61300,54180,64580,78795,9000,518593
2018/11/21,59100,62800,57700,62800,▲3600,＋6.08%,61820,53745,64935,79346,15779,520720
2018/11/20,61600,62000,57500,59200,▼3300,－5.28%,62200,53115,65292,79636,12961,521910
2018/11/19,61500,62500,61100,62500,▲1000,＋1.63%,62840,52660,65742,79990,10609,517164
2018/11/16,62200,63100,60300,61500,▼1600,－2.54%,59950,52185,66110,80317,18016,507672
2018/11/15,64100,64300,61600,63100,▼1600,－2.47%,57650,51810,66477,80665,28591,469583
2018/11/14,64900,66500,59600,64700,▲2300,＋3.69%,54970,51335,66832,80990,99244,240827
2018/11/13,48000,62400,48000,62400,▲14350,＋29.86%,51410,50815,67198,81338,113308,253936
2018/11/12,51100,51100,48000,48050,▼1950,－3.90%,48970,50420,67588,81689,11135,245849
2018/11/09,49500,51000,48200,50000,▲300,＋0.60%,49500,50818,68221,82220,7554,242805
2018/11/08,47850,50800,47850,49700,▲2800,＋5.97%,49520,51153,68741,82797,12116,239411
2018/11/07,50300,51400,46100,46900,▼3300,－6.57%,49360,51753,69366,83267,19930,232830
2018/11/06,50800,51700,49600,50200,▼500,－0.99%,49230,52503,70098,83777,4500,232662
2018/11/05,50100,51500,49200,50700,▲600,＋1.20%,48580,53323,71019,84235,9387,211153
2018/11/02,48950,51800,48950,50100,▲1200,＋2.45%,48010,54173,71676,84694,8921,207569
2018/11/01,46750,50400,46300,48900,▲2650,＋5.73%,48250,55163,72343,85161,13410,199656
2018/10/31,47000,47650,46250,46250,▼700,－1.49%,48830,56218,73029,85598,14161,196799
2018/10/30,46000,48850,46000,46950,▼900,－1.88%,49620,57425,73760,86097,12810,192645
