[일시]한진,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,42000,42300,40900,41200,▼1150,－2.72%,42220,47030,47114,39307,217614,1527877
2019/01/29,42650,43750,42000,42350,▲350,＋0.83%,43090,47665,47048,39177,131596,1482262
2019/01/28,42400,42850,41500,42000,▲50,＋0.12%,44410,48238,46961,39025,200410,1509497
2019/01/25,44050,44550,41550,41950,▼1650,－3.78%,45650,48753,46885,38868,396451,1486301
2019/01/24,46500,47400,42250,43600,▼1950,－4.28%,47540,49280,46776,38705,663152,1396157
2019/01/23,48950,49400,45000,45550,▼3400,－6.95%,49220,49765,46658,38526,292159,1303035
2019/01/22,48300,49700,47050,48950,▲750,＋1.56%,50710,50238,46538,38333,155059,1308788
2019/01/21,51600,52000,48200,48200,▼3200,－6.23%,50940,50620,46355,38106,110129,1294068
2019/01/18,52000,52900,50400,51400,▼600,－1.15%,50880,50855,46188,37883,133476,1296231
2019/01/17,53000,54200,51300,52000,▼1000,－1.89%,50170,50930,45964,37635,147782,1307450
2019/01/16,50500,53100,49800,53000,▲2900,＋5.79%,48910,51000,45737,37385,291434,1320394
2019/01/15,48400,50100,47550,50100,▲2200,＋4.59%,47840,51005,45478,37127,179593,1346911
2019/01/14,48200,48900,47050,47900,▲50,＋0.10%,47020,51175,45210,36895,124176,1364686
2019/01/11,46350,48100,46350,47850,▲2150,＋4.70%,46900,51350,44983,36680,217590,1377623
2019/01/10,48100,48100,45250,45700,▼1950,－4.09%,46710,51508,44753,36465,173623,1300001
2019/01/09,46600,49100,46450,47650,▲1650,＋3.59%,47770,51768,44544,36269,290054,1271387
2019/01/08,47250,47350,45000,46000,▼1300,－2.75%,49020,51995,44279,36054,244823,1288032
2019/01/07,47550,48300,46350,47300,▲400,＋0.85%,50580,52340,44028,35856,205977,1222561
2019/01/04,49200,49850,45300,46900,▼4100,－8.04%,51580,52685,43793,35648,622790,1195999
2019/01/03,53900,54100,49900,51000,▼2900,－5.38%,52700,52970,43569,35447,512124,1154192
2019/01/02,53500,54100,52300,53900,▲100,＋0.19%,53160,52940,43260,35208,165098,1385432
2018/12/28,52800,54800,50000,53800,▲1500,＋2.87%,53380,52790,42891,34941,315442,1435410
2018/12/27,52800,54500,49700,52300,▼200,－0.38%,53940,52530,42519,34670,391872,1466236
2018/12/26,52000,53700,51600,52500,▼800,－1.50%,54060,52248,42185,34403,430443,1502632
2018/12/24,54400,56000,51900,53300,▼1700,－3.09%,54140,51998,41855,34133,251908,1422998
2018/12/21,57000,57200,54300,55000,▼1600,－2.83%,54160,51678,41511,33866,298994,1458808
2018/12/20,52900,57700,52600,56600,▲3700,＋6.99%,53780,51368,41124,33584,456617,1526628
2018/12/19,52200,53600,50000,52900,0.0,0.00%,53160,50950,40701,33291,287049,1513809
2018/12/18,54000,54000,51800,52900,▼500,－0.94%,52860,50530,40359,33031,100893,1522862
2018/12/17,53500,54300,51600,53400,▲300,＋0.56%,52480,49968,40018,32771,107798,1530379
2018/12/14,53000,53700,52000,53100,▼400,－0.75%,51980,49203,39672,32508,118753,1546549
2018/12/13,51900,53800,49950,53500,▲2100,＋4.09%,51800,48543,39313,32248,197930,1567066
2018/12/12,51400,51600,49550,51400,▲400,＋0.78%,51680,47515,38960,31989,125659,1577986
2018/12/11,51200,51800,49000,51000,▲100,＋0.20%,52240,46603,38640,31743,227754,1572386
2018/12/10,51300,53200,49400,50900,▼1300,－2.49%,52560,45748,38318,31505,181331,1542716
2018/12/07,52900,54100,49800,52200,▼700,－1.32%,52460,45000,37998,31273,288952,1518984
2018/12/06,54100,55100,50900,52900,▼1300,－2.40%,52200,44275,37657,31045,248079,1480851
2018/12/05,52300,54800,50800,54200,▲1600,＋3.04%,51340,43543,37280,30810,219045,1517047
2018/12/04,50400,53200,49800,52600,▲2200,＋4.37%,49830,42693,36857,30562,305260,1550831
2018/12/03,51400,51400,49300,50400,▼500,－0.98%,48810,41983,36458,30326,174898,1563804
2018/11/30,48600,52000,48150,50900,▲2300,＋4.73%,48110,41373,36110,30113,385459,1594183
2018/11/29,47050,48900,46150,48600,▲1950,＋4.18%,47690,40688,35756,29895,237280,1592027
2018/11/28,47500,47500,45700,46650,▼850,－1.79%,47620,40115,35451,29699,112193,1583423
2018/11/27,46850,48000,45250,47500,▲600,＋1.28%,47190,39655,35167,29514,239372,1585248
2018/11/26,48900,49200,46100,46900,▼1900,－3.89%,46020,39050,34861,29322,234173,1592277
2018/11/23,48000,48950,46550,48800,▲550,＋1.14%,44260,38530,34569,29132,317141,1596580
2018/11/22,44900,49350,44600,48250,▲3750,＋8.43%,42480,38010,34232,28933,588919,1563361
2018/11/21,41100,44600,40300,44500,▲2850,＋6.84%,39420,37495,33898,28740,446098,1502693
2018/11/20,37100,42400,37100,41650,▲3550,＋9.32%,37150,37178,33645,28575,644726,1556285
2018/11/19,40100,42500,35150,38100,▼1800,－4.51%,35600,36995,33425,28438,899925,1532252
2018/11/16,34000,40350,33750,39900,▲6950,＋21.09%,35170,37008,33244,28331,894341,1752870
2018/11/15,32800,33200,30900,32950,▼200,－0.60%,34730,36888,33043,28215,203890,1796481
2018/11/14,34500,34700,32400,33150,▼750,－2.21%,35790,36940,32923,28159,235657,1849491
2018/11/13,35850,35850,33850,33900,▼2050,－5.70%,36600,36998,32798,28097,243306,1795171
2018/11/12,37200,37400,34750,35950,▼1750,－4.64%,37500,37003,32653,28033,72324,1734419
