[일시]한화,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,34350,34350,33600,34150,▲150,＋0.44%,34080,32408,31093,31106,141859,19217240
2019/01/29,33800,34250,33600,34000,▼100,－0.29%,34100,32250,30998,31087,128922,19202153
2019/01/28,33900,34400,33600,34100,▲250,＋0.74%,33950,32118,30893,31073,219833,19190134
2019/01/25,34050,34450,33600,33850,▼450,－1.31%,33790,32005,30793,31056,206787,19201490
2019/01/24,34200,34650,33850,34300,▲50,＋0.15%,33740,31873,30685,31042,266026,19189336
2019/01/23,33000,34350,33000,34250,▲1000,＋3.01%,33590,31755,30556,31025,330599,19210727
2019/01/22,33400,33650,32900,33250,▼50,－0.15%,33250,31663,30443,31005,117885,19175223
2019/01/21,33900,33900,32800,33300,▼300,－0.89%,33060,31643,30371,30993,168067,19164852
2019/01/18,33550,33950,33200,33600,▲50,＋0.15%,32720,31595,30308,30979,173875,19153453
2019/01/17,32750,34150,32750,33550,▲1000,＋3.07%,32220,31495,30231,30964,494902,19169891
2019/01/16,31950,32700,31950,32550,▲250,＋0.77%,31570,31360,30168,30948,185780,19074259
2019/01/15,31650,32450,31500,32300,▲700,＋2.22%,31290,31300,30113,30927,290859,19067887
2019/01/14,30800,31750,30800,31600,▲500,＋1.61%,30840,31243,30066,30910,243758,19078104
2019/01/11,30500,31150,30500,31100,▲800,＋2.64%,30700,31190,30041,30902,178115,19088496
2019/01/10,30900,31000,30300,30300,▼850,－2.73%,30460,31143,30009,30898,211560,19157556
2019/01/09,29950,31250,29900,31150,▲1100,＋3.66%,30390,31133,29990,30904,151559,19207907
2019/01/08,30900,30950,29950,30050,▼850,－2.75%,30360,31090,29956,30902,132034,19173147
2019/01/07,30300,30950,30100,30900,▲1000,＋3.34%,30620,31105,29937,30912,175355,19197474
2019/01/04,29900,30100,29250,29900,▼50,－0.17%,30810,31080,29944,30918,148487,19142743
2019/01/03,30900,31100,29900,29950,▼1050,－3.39%,31070,31098,29986,30930,189257,19146096
2019/01/02,31450,31750,30800,31000,▼350,－1.12%,31470,31143,30040,30942,118196,19159987
2018/12/28,31500,31750,31200,31350,▼500,－1.57%,31750,31093,30080,30936,139309,19177382
2018/12/27,31050,31900,30950,31850,▲650,＋2.08%,32050,31040,30115,30930,167357,19185078
2018/12/26,31350,31600,31000,31200,▼750,－2.35%,32150,30948,30134,30921,132277,19177625
2018/12/24,32000,32350,31450,31950,▼450,－1.39%,32230,30895,30161,30917,122303,19186608
2018/12/21,32750,32800,32150,32400,▼450,－1.37%,32010,30795,30183,30914,246397,19206877
2018/12/20,32250,32850,31650,32850,▲500,＋1.55%,31800,30650,30170,30906,339690,19248169
2018/12/19,31800,32450,31600,32350,▲750,＋2.37%,31460,30495,30145,30895,259678,19234518
2018/12/18,30850,31600,30700,31600,▲750,＋2.43%,31100,30400,30137,30900,265938,19264192
2018/12/17,31300,31450,30850,30850,▼500,－1.59%,30810,30330,30143,30910,149296,19323987
2018/12/14,31200,31600,30800,31350,▲200,＋0.64%,30660,30298,30161,30920,182624,19378144
2018/12/13,30450,31450,30250,31150,▲600,＋1.96%,30450,30235,30175,30925,379774,19402724
2018/12/12,30450,30800,30050,30550,▲400,＋1.33%,30290,30160,30172,30942,168036,19338837
2018/12/11,30050,30300,29700,30150,▲50,＋0.17%,30260,30158,30186,30968,90062,19328657
2018/12/10,29700,30100,29600,30100,▼200,－0.66%,30280,30138,30203,31003,103918,19373112
2018/12/07,30550,30600,29800,30300,▼50,－0.16%,30430,30103,30230,31046,134778,19376077
2018/12/06,30500,30500,29900,30350,▼50,－0.16%,30370,30053,30248,31088,206858,19411330
2018/12/05,29950,30450,29850,30400,▲150,＋0.50%,30360,30010,30265,31135,149132,19461476
2018/12/04,30600,30850,30150,30250,▼600,－1.94%,30280,29938,30283,31188,166354,19464920
