[일시]한화손해보험,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,5410,5460,5310,5350,▼60,－1.11%,5470,5662,5787,6232,379732,12089310
2019/01/29,5500,5500,5370,5410,▼100,－1.81%,5506,5689,5797,6244,447272,12109274
2019/01/28,5620,5620,5490,5510,▼80,－1.43%,5554,5714,5805,6257,251230,12134899
2019/01/25,5490,5630,5480,5590,▲100,＋1.82%,5602,5722,5812,6267,224568,12191555
2019/01/24,5530,5530,5440,5490,▼40,－0.72%,5646,5720,5814,6276,333887,12079397
2019/01/23,5570,5570,5410,5530,▼120,－2.12%,5710,5726,5821,6285,336786,12136459
2019/01/22,5750,5760,5600,5650,▼100,－1.74%,5744,5721,5833,6293,147424,12168943
2019/01/21,5850,5850,5730,5750,▼60,－1.03%,5754,5711,5847,6301,70926,12185843
2019/01/18,5830,5870,5750,5810,0.0,0.00%,5732,5699,5863,6308,57391,12208873
2019/01/17,5710,5940,5700,5810,▲110,＋1.93%,5722,5680,5874,6315,217271,12210315
2019/01/16,5750,5800,5660,5700,0.0,0.00%,5692,5668,5885,6320,124774,12124721
2019/01/15,5640,5730,5610,5700,▲60,＋1.06%,5710,5662,5895,6326,314423,12120254
2019/01/14,5710,5760,5630,5640,▼120,－2.08%,5700,5656,5904,6331,103100,12028606
2019/01/11,5740,5760,5670,5760,▲100,＋1.77%,5730,5647,5918,6338,115208,11989466
2019/01/10,5750,5800,5640,5660,▼130,－2.25%,5740,5628,5928,6344,73181,11979102
2019/01/09,5650,5790,5650,5790,▲140,＋2.48%,5774,5617,5940,6351,152290,11974273
2019/01/08,5790,5800,5590,5650,▼140,－2.42%,5794,5611,5948,6357,139745,11928790
2019/01/07,5810,5870,5700,5790,▼20,－0.34%,5846,5618,5957,6364,85108,11943033
2019/01/04,5800,5910,5720,5810,▼20,－0.34%,5822,5624,5972,6370,128254,11930382
2019/01/03,5920,5990,5820,5830,▼60,－1.02%,5772,5629,5989,6376,139837,11912609
2019/01/02,5870,5900,5780,5890,▼20,－0.34%,5726,5630,6005,6383,140859,11863457
2018/12/28,5630,5930,5630,5910,▲240,＋4.23%,5634,5626,6021,6388,233394,11858620
2018/12/27,5560,5690,5500,5670,▲110,＋1.98%,5542,5625,6037,6394,87774,11771903
2018/12/26,5580,5580,5470,5560,▼40,－0.71%,5510,5637,6058,6401,156375,11768227
2018/12/24,5440,5680,5410,5600,▲170,＋3.13%,5484,5659,6082,6408,160289,11811601
2018/12/21,5460,5470,5410,5430,▼20,－0.37%,5478,5674,6104,6416,237784,11744977
2018/12/20,5510,5510,5420,5450,▼60,－1.09%,5510,5691,6124,6425,141478,11847887
2018/12/19,5490,5570,5430,5510,▲80,＋1.47%,5536,5725,6142,6435,149530,11845370
2018/12/18,5510,5570,5430,5430,▼140,－2.51%,5526,5758,6161,6445,190778,11828241
2018/12/17,5630,5630,5520,5570,▼20,－0.36%,5516,5796,6182,6456,57287,11850501
