[일시]한화케미칼,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,22100,22700,21950,22600,▲700,＋3.20%,21800,20993,19590,19253,1045679,38948014
2019/01/29,21950,22100,21600,21900,▼100,－0.45%,21540,20853,19513,19236,655613,38792525
2019/01/28,21450,22200,21450,22000,▲550,＋2.56%,21410,20768,19421,19229,1106582,38851862
2019/01/25,20900,21650,20850,21450,▲400,＋1.90%,21360,20665,19323,19222,729996,38669681
2019/01/24,21100,21400,20850,21050,▼250,－1.17%,21360,20585,19224,19218,617939,38573422
2019/01/23,21100,21400,20750,21300,▲50,＋0.24%,21450,20548,19128,19220,639934,38516055
2019/01/22,21800,21900,21000,21250,▼500,－2.30%,21490,20503,19051,19213,890571,38511915
2019/01/21,21550,21950,21550,21750,▲300,＋1.40%,21550,20440,18986,19204,661384,38604289
2019/01/18,21750,21900,21250,21450,▼50,－0.23%,21510,20383,18904,19190,765889,38527914
2019/01/17,21450,21950,21300,21500,0.0,0.00%,21500,20313,18826,19180,905158,38488677
2019/01/16,21550,21550,21050,21500,▼50,－0.23%,21240,20278,18757,19170,1097035,38480220
2019/01/15,21400,21700,21200,21550,0.0,0.00%,20980,20228,18676,19158,838246,38622267
2019/01/14,21500,21600,21000,21550,▲150,＋0.70%,20550,20160,18597,19148,957724,38683059
2019/01/11,20450,21500,20300,21400,▲1200,＋5.94%,20150,20083,18524,19139,2176714,38949180
2019/01/10,20100,20400,19900,20200,0.0,0.00%,19720,20005,18443,19132,708061,38588229
2019/01/09,19500,20250,19450,20200,▲800,＋4.12%,19480,19953,18382,19138,770974,38552012
2019/01/08,19800,19900,19300,19400,▼150,－0.77%,19400,19915,18326,19139,515389,38526156
2019/01/07,19550,20200,19500,19550,▲300,＋1.56%,19560,19925,18282,19148,636467,38553746
2019/01/04,18850,19450,18600,19250,▲250,＋1.32%,19640,19883,18255,19161,746255,38436530
2019/01/03,19850,19850,18550,19000,▼800,－4.04%,19760,19873,18248,19176,1282979,38433747
2019/01/02,20350,20700,19600,19800,▼400,－1.98%,20020,19890,18248,19192,765015,38282418
2018/12/28,20000,20550,19900,20200,▲250,＋1.25%,20140,19845,18231,19200,598925,38359591
2018/12/27,20150,20250,19850,19950,▲100,＋0.50%,20100,19785,18213,19204,508244,38355432
2018/12/26,19900,20100,19700,19850,▼450,－2.22%,20230,19715,18196,19210,768058,38430288
2018/12/24,20200,20700,20150,20300,▼100,－0.49%,20270,19648,18187,19216,581954,38408130
2018/12/21,19900,20400,19800,20400,▲400,＋2.00%,20370,19550,18168,19229,842284,38515952
2018/12/20,20300,20350,19800,20000,▼600,－2.91%,20390,19425,18138,19241,970812,38454159
2018/12/19,20250,20700,20200,20600,▲550,＋2.74%,20430,19330,18109,19254,853220,38485915
2018/12/18,20600,20700,19900,20050,▼750,－3.61%,20310,19225,18077,19271,1293363,38436437
