[일시]현대건설,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,60600,61900,60200,61800,▲2000,＋3.34%,61460,59630,55804,57728,679357,28907468
2019/01/29,61900,62100,59700,59800,▼2300,－3.70%,61260,59195,55598,57700,848679,28834402
2019/01/28,62700,63900,61800,62100,▼300,－0.48%,61280,58935,55350,57690,594196,29061322
2019/01/25,61100,62800,60700,62400,▲1200,＋1.96%,60940,58515,55078,57660,632724,29061509
2019/01/24,61200,61500,60400,61200,▲400,＋0.66%,60620,57975,54795,57630,440369,28999682
2019/01/23,59400,60800,59300,60800,▲900,＋1.50%,60520,57600,54512,57587,449805,28974277
2019/01/22,60700,61100,59700,59900,▼500,－0.83%,60640,57305,54280,57550,450681,28929522
2019/01/21,61200,62100,60300,60400,▼400,－0.66%,60840,57140,54101,57511,481924,28837132
2019/01/18,61100,61400,60200,60800,▲100,＋0.16%,60940,56915,53925,57457,454029,28817591
2019/01/17,61700,62200,60100,60700,▼700,－1.14%,60620,56795,53767,57367,665620,28715996
2019/01/16,61300,62200,60800,61400,▲500,＋0.82%,60200,56600,53627,57294,601890,28608984
2019/01/15,60800,61100,60100,60900,0.0,0.00%,59620,56415,53525,57211,572027,28566161
2019/01/14,60000,61000,59600,60900,▲1700,＋2.87%,58900,56255,53428,57134,931084,28573603
2019/01/11,58500,59500,58100,59200,▲600,＋1.02%,58120,56010,53343,57075,746393,28474617
2019/01/10,59000,59000,57700,58600,▲100,＋0.17%,57280,55840,53267,57035,666066,28334167
2019/01/09,57900,58700,57500,58500,▲1200,＋2.09%,56340,55695,53198,57003,635971,28202236
2019/01/08,57500,58800,56300,57300,▲300,＋0.53%,55260,55615,53152,56959,1074658,28030413
2019/01/07,56500,57100,55800,57000,▲2000,＋3.64%,54720,55515,53095,56934,739807,27920774
2019/01/04,53900,55300,52900,55000,▲1100,＋2.04%,54060,55495,53107,56893,651900,27658255
2019/01/03,53300,55600,52200,53900,▲800,＋1.51%,53380,55665,53265,56861,1077420,27444692
2019/01/02,56500,56700,53000,53100,▼1500,－2.75%,53340,55855,53467,56875,827314,27185404
2018/12/28,53300,55900,53300,54600,▲900,＋1.68%,53700,55950,53728,56875,749644,27177984
2018/12/27,52700,54000,52400,53700,▲2100,＋4.07%,54100,55955,53948,56881,826958,27126526
2018/12/26,52600,53400,51500,51600,▼2100,－3.91%,54540,55985,54183,56897,994770,27005529
2018/12/24,55100,55200,52400,53700,▼1200,－2.19%,55900,56085,54448,56917,1210961,26947618
2018/12/21,57000,57100,54800,54900,▼1700,－3.00%,56520,55995,54677,56948,1074236,26963326
2018/12/20,56300,57400,55700,56600,▲700,＋1.25%,57080,55880,54887,56947,923455,27040692
2018/12/19,59100,59400,55600,55900,▼2500,－4.28%,57300,55675,55023,56951,1264834,26909473
2018/12/18,56300,60200,56200,58400,▲1600,＋2.82%,57320,55555,55177,56988,1525005,27218354
2018/12/17,57800,58200,56000,56800,▼900,－1.56%,56800,55340,55320,57027,763133,27089252
2018/12/14,58400,58800,57000,57700,0.0,0.00%,56580,55200,55518,57064,672678,27127622
2018/12/13,56300,58300,56000,57700,▲1700,＋3.04%,56420,54905,55700,57090,1174603,27139825
2018/12/12,55000,57400,55000,56000,▲200,＋0.36%,55940,54585,55880,57117,656404,26842185
2018/12/11,55900,56300,53800,55800,▲100,＋0.18%,56060,54263,56095,57144,759517,26688044
2018/12/10,55500,56600,54800,55700,▼1200,－2.11%,56580,53993,56312,57197,629058,26683508
2018/12/07,56100,57600,56000,56900,▲1600,＋2.89%,56980,53773,56528,57264,709950,26653987
2018/12/06,56500,56900,54900,55300,▼1300,－2.30%,56600,53473,56642,57320,650466,26659059
2018/12/05,57400,58900,56000,56600,▼1800,－3.08%,56480,53258,56735,57439,1192854,26615731
2018/12/04,57800,59100,57500,58400,▲700,＋1.21%,56020,52820,56812,57570,865819,26703630
2018/12/03,56200,58500,55600,57700,▲2700,＋4.91%,55060,52373,56858,57643,1015875,26657012
2018/11/30,54700,55200,53900,55000,▲300,＋0.55%,53900,51928,56905,57738,587995,26559888
2018/11/29,55200,55600,54400,54700,▲400,＋0.74%,53420,51648,56988,57873,658363,26523263
2018/11/28,53400,54300,53300,54300,▲700,＋1.31%,52980,51160,57083,57983,539721,26461167
2018/11/27,52000,53800,51500,53600,▲1700,＋3.28%,52820,50733,57168,58115,694404,26321708
