[일시]현대미포조선,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,65500,66100,64700,66100,▲1000,＋1.54%,65000,63040,58298,53323,209511,4769966
2019/01/29,66000,66700,65100,65100,▼100,－0.15%,64560,62675,57948,53155,192085,4699824
2019/01/28,64600,66300,64600,65200,▲600,＋0.93%,64480,62420,57592,53009,254013,4699178
2019/01/25,63700,64800,63500,64600,▲600,＋0.94%,64320,62120,57290,52856,122245,4653701
2019/01/24,63700,64700,63300,64000,▲100,＋0.16%,64280,61800,56974,52705,159540,4629873
2019/01/23,64200,64500,63400,63900,▼800,－1.24%,63980,61665,56658,52558,168957,4626369
2019/01/22,64900,65500,63100,64700,▲300,＋0.47%,64000,61670,56339,52412,151372,4608085
2019/01/21,64700,66200,64300,64400,0.0,0.00%,63520,61535,56030,52249,328410,4597091
2019/01/18,62800,64500,62000,64400,▲1900,＋3.04%,62780,61465,55718,52074,254070,4622488
2019/01/17,64000,64000,62500,62500,▼1500,－2.34%,61960,61470,55414,51892,157141,4632513
2019/01/16,62500,64200,62100,64000,▲1700,＋2.73%,61780,61545,55161,51709,353292,4659546
2019/01/15,61200,62400,61000,62300,▲1600,＋2.64%,61300,61625,54895,51513,210370,4561519
2019/01/14,60400,60900,59900,60700,▲400,＋0.66%,60780,61745,54673,51331,176387,4479994
2019/01/11,62200,62500,59400,60300,▼1300,－2.11%,60960,61770,54488,51166,380769,4465836
2019/01/10,62200,64300,61500,61600,0.0,0.00%,61520,61695,54308,51011,287863,4552008
2019/01/09,60400,63100,60400,61600,▲1900,＋3.18%,61400,61530,54098,50831,360432,4547360
2019/01/08,62200,62600,59000,59700,▼1900,－3.08%,60840,61355,53873,50655,361873,4468423
2019/01/07,64400,64400,61500,61600,▼1500,－2.38%,60900,61215,53679,50498,238102,4419040
2019/01/04,61400,63500,60200,63100,▲2100,＋3.44%,60420,60975,53485,50345,354976,4448482
2019/01/03,58800,62300,58800,61000,▲2200,＋3.74%,59440,60665,53273,50180,482873,4421880
2019/01/02,59500,60400,58300,58800,▼1200,－2.00%,59500,60435,53130,50037,179047,4348780
2018/12/28,59900,60500,58900,60000,▲800,＋1.35%,60540,60227,53044,49912,194702,4318176
2018/12/27,58900,60900,58900,59200,▲1000,＋1.72%,60940,59909,52954,49768,413039,4272697
2018/12/26,58500,59900,57500,58200,▼3100,－5.06%,61700,59681,52870,49631,563442,4186548
2018/12/24,63100,63300,61300,61300,▼2700,－4.22%,62960,59428,52765,49497,201328,2301665
2018/12/21,60700,64000,59600,64000,▲2000,＋3.23%,63500,59032,52604,49345,412739,2299113
2018/12/20,63000,63400,61200,62000,▼1000,－1.59%,63820,58527,52351,49170,310234,2245801
2018/12/19,64600,65200,60500,63000,▼1500,－2.33%,64360,58084,52141,49009,418427,2159463
2018/12/18,64000,65400,62500,64500,▲500,＋0.78%,64000,57691,51902,48851,258418,2069705
2018/12/17,65900,66900,63200,64000,▼1600,－2.44%,62860,57210,51655,48690,223903,1991842
2018/12/14,64000,67500,63300,65600,▲900,＋1.39%,61720,56692,51421,48523,427857,2020241
2018/12/13,62000,65500,61200,64700,▲3500,＋5.72%,60220,56082,51151,48326,481322,2003738
2018/12/12,58800,61400,58200,61200,▲2400,＋4.08%,58660,55303,50899,48149,288977,1890834
2018/12/11,58400,59100,57500,58800,▲500,＋0.86%,57780,54629,50676,47995,160970,1907102
2018/12/10,58100,59300,57500,58300,▲200,＋0.34%,57400,54168,50486,47860,196834,1903613
2018/12/07,58000,59500,57300,58100,▲1200,＋2.11%,57019,53730,50315,47748,256011,1910102
2018/12/06,57200,57500,56300,56900,▲100,＋0.18%,56328,53264,50154,47633,210202,1895524
2018/12/05,55900,58500,55500,56800,▼100,－0.18%,55675,52867,50018,47544,218887,1846199
2018/12/04,57100,58700,55200,56900,▲504,＋0.89%,55244,52396,49880,47460,316330,1845023
2018/12/03,55143,56647,54140,56396,▲1755,＋3.21%,54491,51957,49743,47365,183914,1915256
2018/11/30,54140,55143,53890,54642,▲1003,＋1.87%,53890,51418,49633,47282,132845,1911585
2018/11/29,55394,55895,53138,53639,▼1003,－1.83%,53739,50942,49539,47213,128060,1876404
2018/11/28,53388,55143,52887,54642,▲1504,＋2.83%,53639,50446,49464,47161,146518,1855792
2018/11/27,53138,53639,52386,53138,▼251,－0.47%,53739,50070,49388,47090,85266,1845180
2018/11/26,53388,54140,51634,53388,▼501,－0.93%,54090,49694,49332,47038,145076,1812253
2018/11/23,53138,54140,52386,53890,▲752,＋1.42%,54140,49275,49232,46972,88616,1796997
2018/11/22,55394,55644,52887,53138,▼2005,－3.64%,54040,48822,49128,46913,130901,1788204
2018/11/21,54140,55143,52386,55143,▲251,＋0.46%,53238,48471,49057,46857,156280,1787813
2018/11/20,52637,54892,52386,54892,▲1253,＋2.34%,51754,47999,48933,46801,145162,1792723
2018/11/19,53639,54892,52386,53639,▲251,＋0.47%,50691,47561,48779,46755,189533,1817341
2018/11/16,49629,53639,49579,53388,▲4261,＋8.67%,49869,47245,48659,46718,384572,1805625
2018/11/15,48075,49428,48025,49127,▲1404,＋2.94%,48947,46979,48519,46693,114083,1726900
2018/11/14,48576,49879,47222,47724,▼1855,－3.74%,48917,46972,48446,46703,235808,1707322
2018/11/13,48877,49729,47874,49579,▲50,＋0.10%,48847,47065,48437,46719,127427,1739905
2018/11/12,48426,50381,48275,49528,▲752,＋1.54%,48556,47062,48389,46708,184985,1752177
2018/11/09,48977,49228,47473,48776,▼201,－0.41%,47774,47034,48360,46707,98463,1755231
2018/11/08,48827,49127,47924,48977,▲1604,＋3.39%,47042,46999,48339,46723,166689,1746469
2018/11/07,48626,50381,46972,47373,▼752,－1.56%,45989,46954,48321,46732,231767,1739784
2018/11/06,45919,48927,45919,48125,▲2507,＋5.49%,45939,47085,48326,46742,228848,1713403
2018/11/05,45017,45618,44515,45618,▲501,＋1.11%,45438,47197,48318,46753,84430,1658615
2018/11/02,44215,45267,43964,45117,▲1404,＋3.21%,45318,47536,48349,46795,166526,1609562
2018/11/01,46922,46922,43463,43713,▼3409,－7.23%,45257,47962,48362,46841,366471,1605273
2018/10/31,45618,47624,44916,47122,▲1504,＋3.30%,45739,48508,48426,46877,158579,1717490
2018/10/30,43964,46270,43964,45618,▲602,＋1.34%,45458,48859,48421,46869,166744,1735444
2018/10/29,44916,47122,44666,45017,▲201,＋0.45%,45558,49173,48436,46863,192365,1787226
