[일시]현대약품,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,5020,5050,4970,4970,▼50,－1.00%,5032,4904,4843,5011,157710,994903
2019/01/29,5070,5100,4990,5020,▼30,－0.59%,5030,4893,4834,5013,137351,986693
2019/01/28,5050,5120,5040,5050,0.0,0.00%,5020,4878,4821,5013,189301,992090
2019/01/25,5090,5120,5000,5050,▼20,－0.39%,5000,4856,4810,5013,204746,957573
2019/01/24,4950,5090,4920,5070,▲110,＋2.22%,4978,4828,4794,5014,327787,978986
2019/01/23,4910,4990,4900,4960,▼10,－0.20%,4937,4809,4777,5013,138078,902845
2019/01/22,4955,5050,4940,4970,▲20,＋0.40%,4911,4795,4766,5012,232134,884796
2019/01/21,4940,5050,4930,4950,▲10,＋0.20%,4887,4782,4759,5011,196289,841727
2019/01/18,4900,4950,4865,4940,▲75,＋1.54%,4863,4770,4755,5010,176132,853245
2019/01/17,4870,4970,4840,4865,▲35,＋0.72%,4851,4753,4753,5009,282704,796792
2019/01/16,4875,4885,4790,4830,▼20,－0.41%,4862,4746,4757,5010,282777,720467
2019/01/15,4825,4925,4825,4850,▲20,＋0.41%,4871,4746,4760,5011,153042,727620
2019/01/14,4940,4940,4820,4830,▼50,－1.02%,4870,4753,4761,5013,207529,693813
2019/01/11,4920,4950,4880,4880,▼40,－0.81%,4870,4762,4764,5017,149819,684520
2019/01/10,4900,4980,4820,4920,▲45,＋0.92%,4846,4767,4766,5020,291734,710757
2019/01/09,4845,4910,4805,4875,▲30,＋0.62%,4783,4767,4763,5023,132142,734344
2019/01/08,4850,4920,4800,4845,▲15,＋0.31%,4759,4770,4761,5027,209301,703121
2019/01/07,4800,4930,4785,4830,▲70,＋1.47%,4733,4776,4757,5030,412475,687649
2019/01/04,4530,4780,4530,4760,▲155,＋3.37%,4689,4788,4761,5033,315956,681972
2019/01/03,4705,4780,4600,4605,▼150,－3.15%,4635,4804,4769,5035,208153,647148
2019/01/02,4735,4810,4700,4755,▲40,＋0.85%,4652,4832,4779,5039,296177,714369
2018/12/28,4605,4750,4605,4715,▲105,＋2.28%,4637,4845,4791,5041,299992,696090
2018/12/27,4580,4680,4555,4610,▲120,＋2.67%,4638,4863,4803,5042,235127,591668
