[일시]현대차,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,128500,129500,126500,129500,▲1500,＋1.17%,128500,125450,114232,118491,463542,96935004
2019/01/29,126500,128500,126000,128000,▲1500,＋1.19%,128400,124675,113907,118458,445671,96937710
2019/01/28,128500,130000,125500,126500,▼2000,－1.56%,128300,124200,113582,118462,541428,96982599
2019/01/25,127500,130000,127500,128500,▼1500,－1.15%,128400,123800,113248,118487,535338,97074756
2019/01/24,128000,130000,124500,130000,▲1000,＋0.78%,128900,123375,112898,118503,778826,97078574
2019/01/23,128000,130000,127000,129000,▲1500,＋1.18%,128800,123025,112498,118499,422209,96966305
2019/01/22,126500,128000,125000,127500,▲500,＋0.39%,128700,122700,112148,118508,446263,97065050
2019/01/21,132000,132000,126500,127000,▼4000,－3.05%,128700,122400,111857,118533,657273,97118517
2019/01/18,129500,131500,129500,131000,▲1500,＋1.16%,127600,122200,111690,118553,556106,97323030
2019/01/17,128500,130000,127500,129500,▲1000,＋0.78%,126000,121550,111448,118541,513711,97369267
2019/01/16,127000,129000,126000,128500,▲1000,＋0.78%,124700,120900,111257,118520,397335,97366875
2019/01/15,121000,128000,120500,127500,▲6000,＋4.94%,123600,120300,111040,118483,828015,97271877
2019/01/14,122500,124000,121000,121500,▼1500,－1.22%,122000,119850,110848,118453,297709,97286458
2019/01/11,123000,124500,122000,123000,0.0,0.00%,121800,119700,110798,118495,440529,97346893
2019/01/10,121500,123000,119500,123000,0.0,0.00%,121100,119125,110690,118520,648837,97371285
2019/01/09,119000,124000,119000,123000,▲3500,＋2.93%,119800,118500,110532,118516,846392,97601451
2019/01/08,121500,123500,118500,119500,▼1000,－0.83%,118000,117900,110407,118516,582117,97621888
2019/01/07,121000,121500,119500,120500,▲1000,＋0.84%,117800,117450,110348,118533,428416,97682260
2019/01/04,116000,123000,116000,119500,▲3000,＋2.58%,117400,116800,110340,118558,1326978,97689849
2019/01/03,113000,118500,113000,116500,▲2500,＋2.19%,117500,116200,110382,118599,608591,98105452
2019/01/02,117500,118000,113500,114000,▼4500,－3.80%,118800,115800,110515,118658,565493,97858628
2018/12/28,118500,120000,117500,118500,0.0,0.00%,120500,115450,110690,118720,398062,97931727
2018/12/27,118000,120000,117500,118500,▼1500,－1.25%,121100,114525,110857,118728,458613,97961907
2018/12/26,121500,122000,118500,120000,▼3000,－2.44%,122000,113650,111032,118758,550552,98016135
2018/12/24,122000,124000,121500,123000,▲500,＋0.41%,121600,112700,111190,118787,301455,98266739
2018/12/21,120500,122500,119500,122500,▲1000,＋0.82%,120300,111305,111315,118808,643918,98394976
2018/12/20,121500,124500,120500,121500,▼1500,－1.22%,119100,109865,111423,118828,682779,98635563
