[일시]효성,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,64300,69300,63300,68600,▲5800,＋9.24%,62180,53853,52411,48944,515588,2397795
2019/01/29,60300,63000,60300,62800,▲2800,＋4.67%,60260,52820,52104,48748,311884,2303827
2019/01/28,60300,62200,59600,60000,0.0,0.00%,58760,52180,51896,48605,295620,2320877
2019/01/25,59500,60000,58600,60000,▲500,＋0.84%,57560,51865,51751,48476,147492,2289981
2019/01/24,58400,60300,58000,59500,▲500,＋0.85%,56460,51840,51568,48348,245331,2287185
2019/01/23,56000,59500,55900,59000,▲3700,＋6.69%,54640,51850,51329,48209,474372,2289733
2019/01/22,54200,55700,53100,55300,▲1300,＋2.41%,53180,51850,51050,48070,139857,2253485
2019/01/21,55000,55000,53300,54000,▼500,－0.92%,52480,52085,50883,47968,162167,2277066
2019/01/18,50900,54900,50800,54500,▲4100,＋8.13%,51540,52415,50780,47880,437434,2308894
2019/01/17,51800,51900,50400,50400,▼1300,－2.51%,50680,52495,50618,47784,129860,2258725
2019/01/16,51400,52500,51400,51700,▼100,－0.19%,50470,52820,50556,47738,115061,2309671
2019/01/15,49500,52600,49500,51800,▲2500,＋5.07%,49850,52990,50479,47685,229513,2333712
2019/01/14,50200,51000,49300,49300,▼900,－1.79%,49210,53125,50386,47655,134446,2307130
2019/01/11,49600,51100,49300,50200,▲850,＋1.72%,48880,53325,50339,47677,156550,2337576
2019/01/10,48800,49550,48550,49350,▲750,＋1.54%,48300,53360,50268,47685,127832,2323406
2019/01/09,48700,49100,48050,48600,0.0,0.00%,48120,53423,50195,47745,136195,2332826
2019/01/08,47950,49250,47350,48600,▲950,＋1.99%,47990,53538,50132,48001,186847,2358958
2019/01/07,47800,48100,47450,47650,▲350,＋0.74%,48270,53658,50052,48257,143116,2336619
2019/01/04,47850,48550,46900,47300,▼1150,－2.37%,49480,53850,50049,48520,215466,2144191
2019/01/03,48050,49000,46300,48450,▲500,＋1.04%,51920,54045,50061,48787,451377,2000098
2019/01/02,50100,50500,47800,47950,▼2050,－4.10%,54170,54213,50038,49044,358877,1997510
2018/12/28,52500,52700,49850,50000,▼3700,－6.89%,56380,54410,50030,49305,566289,1921059
2018/12/27,56700,57000,53200,53700,▼5800,－9.75%,58380,54535,49991,49550,564287,1934446
2018/12/26,59600,60300,57000,59500,▼200,－0.34%,59760,54305,49874,49763,568331,1935053
2018/12/24,59000,60500,58700,59700,▲700,＋1.19%,59080,53783,49683,49928,254049,2005574
