[일시]흥국화재,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,4795,4840,4740,4840,▲5,＋0.10%,4872,4912,4914,5320,51328,1340106
2019/01/29,4895,4895,4765,4835,▼60,－1.23%,4883,4910,4920,5332,86587,1340620
2019/01/28,4865,4945,4750,4895,▼40,－0.81%,4904,4903,4925,5345,45346,1336522
2019/01/25,4900,4950,4855,4935,▲80,＋1.65%,4917,4882,4924,5355,21466,1337045
2019/01/24,4895,4895,4795,4855,▼40,－0.82%,4927,4859,4921,5366,22739,1334194
2019/01/23,4940,4940,4880,4895,▼45,－0.91%,4934,4842,4919,5376,9406,1338803
2019/01/22,5000,5010,4900,4940,▼20,－0.40%,4936,4821,4918,5387,15676,1340336
2019/01/21,4985,5000,4930,4960,▼25,－0.50%,4927,4798,4918,5397,8793,1347154
2019/01/18,4880,5000,4880,4985,▲95,＋1.94%,4900,4781,4919,5408,10915,1350421
2019/01/17,4905,5000,4850,4890,▼15,－0.31%,4879,4760,4921,5418,27160,1351206
2019/01/16,4895,4940,4820,4905,▲10,＋0.20%,4897,4752,4927,5429,15033,1347972
2019/01/15,4820,5040,4790,4895,▲70,＋1.45%,4924,4744,4933,5440,29783,1348271
2019/01/14,4875,4880,4805,4825,▼55,－1.13%,4959,4737,4937,5451,20535,1346849
2019/01/11,5020,5040,4880,4880,▼100,－2.01%,4993,4735,4945,5463,10640,1346074
2019/01/10,5040,5070,4950,4980,▼60,－1.19%,4985,4730,4950,5474,28040,1345898
2019/01/09,5150,5170,5040,5040,▼30,－0.59%,4944,4720,4954,5485,27988,1346303
2019/01/08,4995,5180,4950,5070,▲75,＋1.50%,4895,4711,4959,5495,54061,1345292
2019/01/07,4860,5010,4860,4995,▲155,＋3.20%,4822,4705,4960,5506,19177,1345715
2019/01/04,4775,4890,4665,4840,▲65,＋1.36%,4717,4705,4969,5517,19315,1346177
2019/01/03,4775,4850,4730,4775,▼20,－0.42%,4643,4712,4983,5530,23099,1347884
2019/01/02,4830,4845,4755,4795,▲90,＋1.91%,4592,4724,4998,5543,45129,1347262
2018/12/28,4500,4825,4440,4705,▲235,＋5.26%,4529,4735,5013,5555,60012,1348049
2018/12/27,4475,4500,4410,4470,0.0,0.00%,4484,4752,5029,5568,20617,1339749
2018/12/26,4515,4515,4275,4470,▼50,－1.11%,4512,4781,5052,5583,28747,1340920
2018/12/24,4480,4530,4440,4520,▲40,＋0.89%,4534,4810,5075,5598,36973,1339088
2018/12/21,4480,4480,4330,4480,0.0,0.00%,4573,4837,5097,5615,109164,1347050
2018/12/20,4655,4655,4465,4480,▼130,－2.82%,4627,4863,5117,5632,18066,1336505
2018/12/19,4555,4625,4555,4610,▲30,＋0.66%,4681,4893,5138,5649,9084,1336886
2018/12/18,4640,4710,4575,4580,▼135,－2.86%,4719,4918,5158,5664,18166,1336570
2018/12/17,4800,4800,4660,4715,▼35,－0.74%,4757,4945,5179,5681,11410,1342024
